iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -8212.13 0.00677908 0 0 0.247288 0 0 1 0 0 0.854509 0 0 1 0 0 1 0 0 0.163859 0 0 0 0
40 -6968.55 0.0024433 40 10 0.212354 40 13 1 0 0 1.84273 40 13 1 0 0 1 0 0 0.95901 40 14 143280 116163
80 -6961.88 0.00147266 40 9 0.151441 40 6 1 0 0 2.31608 40 14 1 0 0 1 0 0 1.15738 40 4 143280 115476
120 -6982.8 0.00187103 40 4 0.138389 40 9 1 0 0 2.153 40 8 1 0 0 1 0 0 1.32128 40 11 143280 114947
160 -6977.46 0.00173986 40 12 0.135349 40 7 1 0 0 2.46044 40 9 1 0 0 1 0 0 1.30146 40 8 143280 115286
200 -7001.49 0.00203388 40 7 0.127725 40 11 1 0 0 2.34285 40 9 1 0 0 1 0 0 1.46284 40 13 143280 115292
240 -6973.19 0.00214753 40 5 0.122651 40 9 1 0 0 2.12553 40 8 1 0 0 1 0 0 1.35332 40 9 143280 115381
280 -7017.91 0.00244494 40 12 0.136204 40 7 1 0 0 2.456 40 9 1 0 0 1 0 0 1.15014 40 8 143280 115354
320 -6975.46 0.0023772 40 13 0.145211 40 7 1 0 0 1.7613 40 11 1 0 0 1 0 0 1.48806 40 10 143280 115289
360 -6970.07 0.00170994 40 12 0.125694 40 9 1 0 0 2.22272 40 8 1 0 0 1 0 0 1.42102 40 14 143280 115280
400 -6964.45 0.00164768 40 12 0.143763 40 7 1 0 0 2.27952 40 12 1 0 0 1 0 0 1.28225 40 7 143280 114854
440 -6994.59 0.00189397 40 6 0.137687 40 9 1 0 0 2.26442 40 10 1 0 0 1 0 0 1.32809 40 10 143280 114869
480 -6958.69 0.00145353 40 10 0.125645 40 7 1 0 0 2.36049 40 7 1 0 0 1 0 0 1.45802 40 10 143280 115174
520 -6983.63 0.00277861 40 11 0.108923 40 13 1 0 0 2.26736 40 12 1 0 0 1 0 0 1.67739 40 7 143280 115312
560 -6967.38 0.00230815 40 5 0.105938 40 12 1 0 0 2.63808 40 7 1 0 0 1 0 0 1.46884 40 7 143280 115568
600 -6950.65 0.00210411 40 5 0.105265 40 14 1 0 0 2.45755 40 14 1 0 0 1 0 0 1.55356 40 8 143280 115277
640 -6971.83 0.00201493 40 5 0.115498 40 6 1 0 0 2.30898 40 12 1 0 0 1 0 0 1.43525 40 10 143280 115260
680 -7027.33 0.00229726 40 8 0.140931 40 9 1 0 0 2.06691 40 14 1 0 0 1 0 0 1.39583 40 13 143280 115190
720 -6972.24 0.00168656 40 12 0.137827 40 8 1 0 0 2.48315 40 7 1 0 0 1 0 0 1.26479 40 11 143280 115449
760 -7010.83 0.00220361 40 5 0.124616 40 11 1 0 0 2.29785 40 8 1 0 0 1 0 0 1.31244 40 9 143280 115300
800 -7002 0.00171276 40 4 0.128371 40 13 1 0 0 2.46989 40 9 1 0 0 1 0 0 1.26615 40 7 143280 115184
840 -6971.98 0.00185939 40 6 0.133554 40 11 1 0 0 2.25548 40 11 1 0 0 1 0 0 1.3653 40 8 143280 115483
880 -6991.58 0.00211942 40 7 0.134969 40 10 1 0 0 2.10718 40 9 1 0 0 1 0 0 1.37904 40 10 143280 115438
920 -6956.43 0.00190744 40 7 0.132478 40 9 1 0 0 1.87952 40 11 1 0 0 1 0 0 1.53433 40 17 143280 115273
960 -6971.8 0.00207906 40 5 0.149513 40 5 1 0 0 1.83772 40 16 1 0 0 1 0 0 1.47506 40 12 143280 115255
1000 -6984.4 0.00220047 40 6 0.135308 40 6 1 0 0 2.41538 40 12 1 0 0 1 0 0 1.2597 40 10 143280 115810
1040 -6962.09 0.00134719 40 5 0.13798 40 5 1 0 0 2.1639 40 8 1 0 0 1 0 0 1.42422 40 11 143280 115179
1080 -6987.97 0.00157476 40 9 0.144171 40 10 1 0 0 2.04553 40 13 1 0 0 1 0 0 1.43459 40 9 143280 114733
1120 -6989.76 0.00215585 40 5 0.142747 40 12 1 0 0 2.22993 40 10 1 0 0 1 0 0 1.22645 40 11 143280 115177
1160 -6966.66 0.00147542 40 6 0.14708 40 6 1 0 0 1.81982 40 13 1 0 0 1 0 0 1.45879 40 8 143280 115278
1200 -6995.62 0.00156662 40 11 0.153832 40 10 1 0 0 1.75662 40 11 1 0 0 1 0 0 1.43714 40 14 143280 115154
1240 -7010.36 0.00201592 40 9 0.162226 40 13 1 0 0 2.00548 40 12 1 0 0 1 0 0 1.19423 40 16 143280 115202
1280 -6995.75 0.00231708 40 9 0.141856 40 6 1 0 0 2.01584 40 11 1 0 0 1 0 0 1.4511 40 8 143280 115152
1320 -6978.02 0.0024326 40 10 0.115763 40 9 1 0 0 2.40074 40 9 1 0 0 1 0 0 1.55067 40 15 143280 115166
1360 -6978.7 0.00240978 40 8 0.119372 40 11 1 0 0 2.46078 40 9 1 0 0 1 0 0 1.409 40 6 143280 115599
1400 -6989.02 0.00174765 40 10 0.132339 40 8 1 0 0 2.23487 40 10 1 0 0 1 0 0 1.37853 40 11 143280 115500
1440 -6982.64 0.00323105 40 6 0.129127 40 12 1 0 0 2.12663 40 7 1 0 0 1 0 0 1.38886 40 8 143280 115429
1480 -6987.67 0.00242155 40 5 0.125088 40 11 1 0 0 2.09794 40 8 1 0 0 1 0 0 1.38561 40 9 143280 115278
1520 -6966.07 0.0020401 40 9 0.133492 40 10 1 0 0 2.20153 40 9 1 0 0 1 0 0 1.32754 40 9 143280 115450
1560 -6984.02 0.00278362 40 12 0.133745 40 9 1 0 0 2.12381 40 14 1 0 0 1 0 0 1.41212 40 10 143280 115550
1600 -6997.55 0.0016174 40 14 0.141012 40 7 1 0 0 2.28891 40 12 1 0 0 1 0 0 1.365 40 11 143280 115545
1640 -7008.56 0.00169487 40 12 0.158325 40 9 1 0 0 1.99874 40 16 1 0 0 1 0 0 1.19977 40 7 143280 115348
1680 -6972.76 0.00180212 40 7 0.15908 40 11 1 0 0 2.17569 40 14 1 0 0 1 0 0 1.10199 40 9 143280 115499
1720 -6954.38 0.00196537 40 12 0.127212 40 10 1 0 0 2.38289 40 7 1 0 0 1 0 0 1.40396 40 10 143280 114959
1760 -6958.29 0.00170306 40 14 0.135649 40 5 1 0 0 1.97225 40 11 1 0 0 1 0 0 1.50349 40 5 143280 115410
1800 -6951.68 0.00174038 40 7 0.120821 40 11 1 0 0 2.1415 40 11 1 0 0 1 0 0 1.58412 40 8 143280 115145
1840 -6950.89 0.00109076 40 10 0.164291 40 9 1 0 0 2.09201 40 11 1 0 0 1 0 0 1.28959 40 10 143280 114937
1880 -6983.63 0.00165608 40 9 0.145317 40 10 1 0 0 2.27977 40 11 1 0 0 1 0 0 1.29153 40 14 143280 115203
1920 -6997.35 0.00172658 40 6 0.131285 40 11 1 0 0 2.37637 40 13 1 0 0 1 0 0 1.49162 40 16 143280 115498
1960 -6957.36 0.001786 40 6 0.124238 40 16 1 0 0 2.52778 40 10 1 0 0 1 0 0 1.34246 40 13 143280 115251
2000 -6961.34 0.0022611 40 12 0.12164 40 8 1 0 0 2.09545 40 11 1 0 0 1 0 0 1.5361 40 13 143280 115417
2040 -6978.45 0.0023992 40 10 0.111538 40 12 1 0 0 2.2924 40 17 1 0 0 1 0 0 1.64494 40 7 143280 115231
2080 -6976.25 0.00172738 40 6 0.116013 40 11 1 0 0 2.13078 40 6 1 0 0 1 0 0 1.60089 40 7 143280 115384
2120 -6978.35 0.0020131 40 8 0.140609 40 15 1 0 0 2.27027 40 14 1 0 0 1 0 0 1.31174 40 5 143280 115333
2160 -6975.8 0.00205417 40 7 0.115001 40 7 1 0 0 2.10594 40 9 1 0 0 1 0 0 1.60061 40 7 143280 115195
2200 -6966.43 0.00245831 40 7 0.14417 40 13 1 0 0 2.36074 40 9 1 0 0 1 0 0 1.15958 40 9 143280 115457
2240 -6974.95 0.00182932 40 5 0.126668 40 8 1 0 0 2.14789 40 10 1 0 0 1 0 0 1.52753 40 14 143280 115524
2280 -6995.2 0.00214441 40 6 0.112457 40 9 1 0 0 2.25218 40 7 1 0 0 1 0 0 1.47924 40 7 143280 115363
2320 -6976.15 0.00155385 40 8 0.102248 40 12 1 0 0 2.26443 40 9 1 0 0 1 0 0 1.86508 40 12 143280 115526
2360 -7012.57 0.001618 40 9 0.121055 40 7 1 0 0 2.1807 40 11 1 0 0 1 0 0 1.44986 40 10 143280 115316
2400 -6964.91 0.00197537 40 8 0.130302 40 10 1 0 0 2.40925 40 7 1 0 0 1 0 0 1.28076 40 8 143280 115325
2440 -6984.88 0.00220146 40 11 0.0990114 40 13 1 0 0 2.66266 40 10 1 0 0 1 0 0 1.54624 40 10 143280 115308
2480 -6955.88 0.00216988 40 6 0.127133 40 9 1 0 0 2.39091 40 9 1 0 0 1 0 0 1.43704 40 9 143280 115484
2520 -6952.1 0.00221293 40 14 0.138853 40 12 1 0 0 2.21997 40 12 1 0 0 1 0 0 1.38023 40 13 143280 115204
