iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -40003.7 0.000205145 0 0 7.1392 0 0 1 0 0 4.6599 0 0 1 0 0 1 0 0 0.397318 0 0 0 0
40 -6563.77 0.00119692 40 18 0.287536 40 21 1 0 0 1.25036 40 20 1 0 0 1 0 0 0.713684 40 17 136000 105672
80 -6523.61 0.00159846 40 10 0.132913 40 9 1 0 0 2.20956 40 11 1 0 0 1 0 0 1.11381 40 11 136000 109902
120 -6537.15 0.0018266 40 7 0.112577 40 11 1 0 0 2.25624 40 8 1 0 0 1 0 0 1.35236 40 11 136000 109978
160 -6568.14 0.0024308 40 7 0.133778 40 11 1 0 0 1.95686 40 14 1 0 0 1 0 0 1.23351 40 6 136000 109955
200 -6537.42 0.00230483 40 8 0.114709 40 9 1 0 0 2.29842 40 10 1 0 0 1 0 0 1.19799 40 7 136000 110228
240 -6515.98 0.00113255 40 5 0.129503 40 9 1 0 0 2.09786 40 7 1 0 0 1 0 0 1.27331 40 11 136000 110126
280 -6569.29 0.00329215 40 7 0.10603 40 16 1 0 0 2.15172 40 8 1 0 0 1 0 0 1.39319 40 8 136000 110034
320 -6527.05 0.00238464 40 11 0.124197 40 17 1 0 0 1.91784 40 6 1 0 0 1 0 0 1.30526 40 9 136000 110358
360 -6519.32 0.00197962 40 9 0.119125 40 13 1 0 0 2.4108 40 9 1 0 0 1 0 0 1.18369 40 9 136000 110067
400 -6535.73 0.00194106 40 8 0.121538 40 9 1 0 0 2.32777 40 8 1 0 0 1 0 0 1.2721 40 15 136000 109849
440 -6521.77 0.00162077 40 11 0.144062 40 10 1 0 0 2.06277 40 14 1 0 0 1 0 0 1.13516 40 10 136000 109803
480 -6526.96 0.0024822 40 10 0.112278 40 7 1 0 0 2.16361 40 17 1 0 0 1 0 0 1.39849 40 10 136000 109858
520 -6464.92 0.00253452 40 4 0.0943258 40 10 1 0 0 2.42737 40 11 1 0 0 1 0 0 1.47517 40 8 136000 110035
560 -6541.24 0.00206902 40 4 0.105592 40 12 1 0 0 2.37785 40 9 1 0 0 1 0 0 1.43432 40 7 136000 110130
600 -6501.74 0.0022231 40 6 0.111937 40 14 1 0 0 2.23399 40 6 1 0 0 1 0 0 1.37595 40 11 136000 110137
640 -6497.82 0.0019999 40 8 0.103987 40 13 1 0 0 2.24635 40 7 1 0 0 1 0 0 1.5708 40 11 136000 109903
680 -6527.5 0.00209559 40 7 0.130557 40 11 1 0 0 2.02116 40 14 1 0 0 1 0 0 1.29739 40 8 136000 110139
720 -6526.79 0.00248832 40 9 0.131385 40 10 1 0 0 2.04251 40 11 1 0 0 1 0 0 1.31071 40 9 136000 109834
760 -6541.64 0.00188626 40 7 0.131762 40 6 1 0 0 1.94134 40 9 1 0 0 1 0 0 1.35161 40 12 136000 110111
800 -6543.06 0.00250827 40 8 0.11775 40 13 1 0 0 2.44878 40 14 1 0 0 1 0 0 1.1249 40 6 136000 109886
840 -6510.3 0.00242075 40 7 0.0983461 40 9 1 0 0 2.40865 40 14 1 0 0 1 0 0 1.59094 40 15 136000 110330
