iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -29233 0.00154182 0 0 5.39877 0 0 1 0 0 0.33439 0 0 1 0 0 1 0 0 3.07896 0 0 0 0
40 -6897.13 9.69164e-05 40 15 0.244757 40 20 1 0 0 1.52629 40 21 1 0 0 1 0 0 0.846533 40 17 68080 46829
80 -6912.88 0.00034536 40 23 0.140296 40 15 1 0 0 2.03205 40 12 1 0 0 1 0 0 1.17749 40 12 68080 50477
120 -6827.5 0.000340717 40 15 0.124884 40 15 1 0 0 2.13932 40 13 1 0 0 1 0 0 1.27062 40 10 68080 50848
160 -6868.34 0.000278444 40 25 0.137402 40 5 1 0 0 2.22537 40 8 1 0 0 1 0 0 1.13653 40 9 68080 50548
200 -6859.25 0.000173415 40 22 0.149843 40 15 1 0 0 1.84763 40 12 1 0 0 1 0 0 1.25258 40 7 68080 50544
240 -6877.86 0.000185825 40 26 0.145825 40 5 1 0 0 2.19427 40 11 1 0 0 1 0 0 1.2154 40 8 68080 50587
280 -6863.57 0.00048733 40 29 0.118569 40 11 1 0 0 2.2267 40 14 1 0 0 1 0 0 1.33434 40 9 68080 50638
320 -6859.32 0.000123975 40 27 0.119554 40 9 1 0 0 2.32795 40 5 1 0 0 1 0 0 1.30339 40 5 68080 50714
360 -6877.28 0.000259793 40 19 0.0998251 40 6 1 0 0 2.39826 40 13 1 0 0 1 0 0 1.70402 40 11 68080 50473
400 -6888.33 0.000322544 40 24 0.0992775 40 14 1 0 0 2.07697 40 8 1 0 0 1 0 0 1.65787 40 6 68080 50386
440 -6854.28 8.21553e-05 40 28 0.101922 40 5 1 0 0 2.37208 40 14 1 0 0 1 0 0 1.57787 40 13 68080 50526
480 -6873.78 1.51467e-05 40 27 0.114078 40 16 1 0 0 2.35797 40 12 1 0 0 1 0 0 1.36078 40 8 68080 50266
520 -6894.21 0.000277904 40 29 0.11834 40 10 1 0 0 2.15965 40 14 1 0 0 1 0 0 1.34835 40 10 68080 50588
560 -6947.38 0.000281532 40 23 0.107952 40 12 1 0 0 2.48258 40 10 1 0 0 1 0 0 1.44596 40 8 68080 50688
600 -6879.93 0.000180786 40 19 0.103233 40 6 1 0 0 2.32551 40 7 1 0 0 1 0 0 1.67357 40 10 68080 50803
640 -6932.42 9.49185e-05 40 23 0.0988094 40 4 1 0 0 2.3729 40 10 1 0 0 1 0 0 1.59072 40 8 68080 50753
680 -6837.26 0.000459321 40 26 0.108061 40 10 1 0 0 2.38705 40 9 1 0 0 1 0 0 1.57278 40 7 68080 50820
720 -6881.89 0.000247954 40 28 0.116431 40 10 1 0 0 2.51028 40 16 1 0 0 1 0 0 1.38061 40 9 68080 50681
760 -6825.42 0.000213244 40 24 0.130746 40 9 1 0 0 2.02142 40 8 1 0 0 1 0 0 1.39188 40 8 68080 50528
800 -6915.78 0.000244899 40 22 0.12478 40 8 1 0 0 2.12283 40 12 1 0 0 1 0 0 1.3265 40 9 68080 50925
840 -6852.64 0.000466313 40 23 0.125796 40 12 1 0 0 2.35257 40 14 1 0 0 1 0 0 1.36336 40 10 68080 50716
880 -6925.73 0.000161764 40 20 0.141961 40 7 1 0 0 1.88938 40 8 1 0 0 1 0 0 1.26021 40 10 68080 50411
920 -6943 0.000178256 40 27 0.122518 40 5 1 0 0 2.14295 40 11 1 0 0 1 0 0 1.40091 40 11 68080 50503
960 -6882.13 0.00010192 40 30 0.119833 40 10 1 0 0 2.25055 40 10 1 0 0 1 0 0 1.35772 40 10 68080 50460
1000 -6839.57 0.000137274 40 21 0.122668 40 10 1 0 0 2.48125 40 12 1 0 0 1 0 0 1.28073 40 10 68080 50540
1040 -6932.75 2.26409e-05 40 29 0.133357 40 12 1 0 0 1.97899 40 9 1 0 0 1 0 0 1.33973 40 11 68080 50542
1080 -6905.8 0.000198522 40 24 0.11331 40 10 1 0 0 2.14188 40 10 1 0 0 1 0 0 1.38963 40 6 68080 50354
1120 -6905.71 4.98455e-05 40 30 0.128128 40 11 1 0 0 2.44088 40 10 1 0 0 1 0 0 1.23431 40 15 68080 50433
1160 -6843.15 0.000253388 40 26 0.114781 40 6 1 0 0 2.26427 40 7 1 0 0 1 0 0 1.46411 40 13 68080 50569
1200 -6839.86 0.000125264 40 25 0.1124 40 6 1 0 0 2.61183 40 9 1 0 0 1 0 0 1.34882 40 6 68080 50436
1240 -6982.96 0.000171321 40 26 0.107273 40 10 1 0 0 2.12256 40 14 1 0 0 1 0 0 1.71635 40 6 68080 50652
1280 -6892.09 8.01924e-06 40 27 0.104082 40 5 1 0 0 2.18504 40 6 1 0 0 1 0 0 1.59306 40 6 68080 50485
1320 -6881.17 2.1817e-07 40 26 0.13095 40 7 1 0 0 2.47697 40 12 1 0 0 1 0 0 1.19554 40 9 68080 50698
1360 -6880.93 6.84919e-05 40 28 0.10729 40 8 1 0 0 2.29908 40 7 1 0 0 1 0 0 1.47071 40 8 68080 50666
1400 -6893.53 5.53323e-05 40 27 0.0980653 40 10 1 0 0 2.27759 40 11 1 0 0 1 0 0 1.70191 40 9 68080 50308
1440 -6813.08 0.000220464 40 30 0.101046 40 18 1 0 0 2.24338 40 14 1 0 0 1 0 0 1.80229 40 8 68080 50635
1480 -6902.23 0.000290296 40 25 0.107458 40 9 1 0 0 2.50181 40 15 1 0 0 1 0 0 1.41552 40 9 68080 50611
1520 -6853.1 0.000166689 40 28 0.126284 40 12 1 0 0 2.36281 40 10 1 0 0 1 0 0 1.31888 40 10 68080 50435
1560 -6921.32 0.000358467 40 26 0.0982338 40 10 1 0 0 2.2399 40 9 1 0 0 1 0 0 1.77186 40 7 68080 50433
1600 -6898.28 0.000601758 40 16 0.108016 40 12 1 0 0 2.12635 40 8 1 0 0 1 0 0 1.5511 40 10 68080 50669
1640 -6948.69 9.37878e-05 40 30 0.114954 40 8 1 0 0 2.42902 40 9 1 0 0 1 0 0 1.30547 40 11 68080 50432
1680 -6878.33 0.000320157 40 17 0.117359 40 10 1 0 0 2.33124 40 8 1 0 0 1 0 0 1.40308 40 7 68080 50669
1720 -6797.48 0.00017241 40 20 0.111096 40 7 1 0 0 2.41085 40 17 1 0 0 1 0 0 1.57098 40 13 68080 50503
1760 -6890.1 0.000230963 40 25 0.109841 40 8 1 0 0 2.55427 40 7 1 0 0 1 0 0 1.2323 40 5 68080 50469
1800 -6963.06 5.28268e-05 40 20 0.109892 40 9 1 0 0 2.24592 40 12 1 0 0 1 0 0 1.41681 40 8 68080 50710
1840 -6958.88 0.000465249 40 24 0.122193 40 11 1 0 0 2.18075 40 15 1 0 0 1 0 0 1.33867 40 7 68080 50570
1880 -6871.28 7.31914e-05 40 24 0.129256 40 7 1 0 0 1.99419 40 16 1 0 0 1 0 0 1.40249 40 11 68080 50714
1920 -6880.87 9.17839e-05 40 26 0.123908 40 8 1 0 0 2.20062 40 4 1 0 0 1 0 0 1.4123 40 10 68080 50630
1960 -6930.8 0.000114087 40 24 0.0988569 40 9 1 0 0 2.71181 40 14 1 0 0 1 0 0 1.38745 40 10 68080 50408
2000 -6854.1 0.000203987 40 19 0.109654 40 9 1 0 0 2.25084 40 6 1 0 0 1 0 0 1.64189 40 9 68080 50653
2040 -6898.53 0.000139309 40 25 0.125346 40 4 1 0 0 2.12507 40 13 1 0 0 1 0 0 1.45528 40 12 68080 50700
2080 -6873.79 0.000429657 40 20 0.109576 40 11 1 0 0 2.48521 40 17 1 0 0 1 0 0 1.53695 40 14 68080 50804
2120 -6943.47 0.000277121 40 18 0.0989601 40 9 1 0 0 2.32525 40 6 1 0 0 1 0 0 1.78344 40 12 68080 50502
2160 -6868.84 0.000159125 40 18 0.11756 40 10 1 0 0 2.2105 40 9 1 0 0 1 0 0 1.40202 40 13 68080 50809
2200 -6874.49 0.000363697 40 24 0.124007 40 14 1 0 0 2.07952 40 5 1 0 0 1 0 0 1.39298 40 8 68080 50490
2240 -6834.18 0.000303936 40 18 0.127326 40 9 1 0 0 2.28458 40 11 1 0 0 1 0 0 1.26666 40 13 68080 50561
2280 -6910.77 0.000232732 40 21 0.125451 40 9 1 0 0 2.19258 40 7 1 0 0 1 0 0 1.32236 40 11 68080 50722
2320 -6813.23 0.000251777 40 27 0.125345 40 7 1 0 0 2.00701 40 5 1 0 0 1 0 0 1.36633 40 12 68080 50424
2360 -6868.55 0.000148689 40 19 0.124667 40 9 1 0 0 2.16827 40 13 1 0 0 1 0 0 1.41278 40 12 68080 50517
2400 -6875.76 8.5342e-05 40 21 0.106872 40 9 1 0 0 2.30919 40 6 1 0 0 1 0 0 1.4487 40 11 68080 50672
2440 -6820.01 0.000279531 40 22 0.109492 40 11 1 0 0 2.32469 40 17 1 0 0 1 0 0 1.54572 40 10 68080 50436
2480 -6928.61 9.09132e-05 40 26 0.10062 40 4 1 0 0 2.39855 40 3 1 0 0 1 0 0 1.49731 40 9 68080 50772
2520 -6866.53 0.000512526 40 15 0.108011 40 8 1 0 0 2.36357 40 7 1 0 0 1 0 0 1.49062 40 9 68080 50837
2560 -6854.24 0.000119016 40 24 0.12163 40 12 1 0 0 2.10088 40 12 1 0 0 1 0 0 1.4927 40 8 68080 50664
2600 -6940.18 5.91244e-05 40 30 0.109209 40 7 1 0 0 2.20793 40 9 1 0 0 1 0 0 1.63608 40 9 68080 50378
2640 -6870.31 2.5984e-05 40 33 0.128096 40 12 1 0 0 2.18917 40 6 1 0 0 1 0 0 1.33135 40 10 68080 50628
2680 -6873.79 0.000242521 40 24 0.0958235 40 7 1 0 0 2.72989 40 10 1 0 0 1 0 0 1.61332 40 8 68080 50389
2720 -6925.31 0.000151305 40 27 0.109289 40 12 1 0 0 2.21099 40 7 1 0 0 1 0 0 1.74422 40 5 68080 50405
2760 -6926.85 0.000123608 40 25 0.115195 40 9 1 0 0 2.79133 40 12 1 0 0 1 0 0 1.27927 40 14 68080 50295
2800 -6873.52 0.000146086 40 21 0.130227 40 9 1 0 0 2.00496 40 9 1 0 0 1 0 0 1.23138 40 9 68080 50388
2840 -6903.12 0.000178186 40 26 0.111347 40 7 1 0 0 2.26675 40 8 1 0 0 1 0 0 1.58529 40 8 68080 50625
2880 -6892.92 0.000152335 40 16 0.113372 40 12 1 0 0 2.20984 40 13 1 0 0 1 0 0 1.55441 40 6 68080 50698
2920 -6872.3 4.1082e-05 40 23 0.116171 40 14 1 0 0 2.28579 40 4 1 0 0 1 0 0 1.4371 40 10 68080 50678
2960 -6817.1 0.00032213 40 23 0.111189 40 5 1 0 0 2.17648 40 11 1 0 0 1 0 0 1.48673 40 8 68080 50790
