iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -37265.1 7.17083e-05 0 0 8.371 0 0 1 0 0 1.42377 0 0 1 0 0 1 0 0 1.17552 0 0 0 0
40 -7222.78 0.000416067 40 20 0.331603 40 19 1 0 0 1.15928 40 24 1 0 0 1 0 0 0.737175 40 19 70560 47934
80 -7236 1.84809e-05 40 29 0.184929 40 13 1 0 0 1.79552 40 11 1 0 0 1 0 0 1.10721 40 8 70560 51997
120 -7321.43 0.000317901 40 33 0.173246 40 9 1 0 0 2.13129 40 12 1 0 0 1 0 0 1.0056 40 8 70560 51859
160 -7273.25 0.000234818 40 21 0.166988 40 11 1 0 0 1.79008 40 8 1 0 0 1 0 0 1.2313 40 10 70560 52047
200 -7219.44 0.00047402 40 19 0.159312 40 2 1 0 0 1.91237 40 6 1 0 0 1 0 0 1.19611 40 10 70560 52322
240 -7207.68 0.000184767 40 20 0.144506 40 14 1 0 0 1.98427 40 14 1 0 0 1 0 0 1.27862 40 12 70560 52289
280 -7332.83 0.000595887 40 20 0.130627 40 11 1 0 0 1.9341 40 15 1 0 0 1 0 0 1.41314 40 13 70560 52638
320 -7355.03 7.80655e-05 40 25 0.177331 40 13 1 0 0 1.66483 40 8 1 0 0 1 0 0 1.2362 40 7 70560 51909
360 -7232.41 0.000429358 40 26 0.186468 40 10 1 0 0 1.60023 40 8 1 0 0 1 0 0 1.1367 40 8 70560 51772
400 -7329.23 0.000750988 40 19 0.149161 40 9 1 0 0 2.13607 40 12 1 0 0 1 0 0 1.09205 40 12 70560 51985
440 -7227.15 0.000278431 40 23 0.156221 40 6 1 0 0 1.81339 40 8 1 0 0 1 0 0 1.22867 40 9 70560 52422
480 -7332.2 0.000509268 40 20 0.128324 40 6 1 0 0 2.06297 40 5 1 0 0 1 0 0 1.37413 40 10 70560 52204
520 -7264.15 0.000300608 40 29 0.128508 40 8 1 0 0 2.11323 40 14 1 0 0 1 0 0 1.43164 40 7 70560 52157
560 -7203.19 0.000307923 40 26 0.141353 40 9 1 0 0 1.87102 40 12 1 0 0 1 0 0 1.45667 40 5 70560 51929
600 -7225.53 0.00040385 40 16 0.161989 40 7 1 0 0 1.76941 40 11 1 0 0 1 0 0 1.30846 40 11 70560 52246
640 -7253.9 0.000697996 40 18 0.147751 40 8 1 0 0 1.67547 40 10 1 0 0 1 0 0 1.48312 40 11 70560 52098
680 -7291.87 0.000307748 40 16 0.162846 40 9 1 0 0 1.76438 40 14 1 0 0 1 0 0 1.188 40 9 70560 52437
720 -7244.89 0.000729087 40 19 0.145795 40 7 1 0 0 1.98788 40 8 1 0 0 1 0 0 1.32232 40 12 70560 52182
760 -7277.51 0.000132588 40 30 0.175632 40 12 1 0 0 1.79702 40 10 1 0 0 1 0 0 1.11963 40 7 70560 51796
800 -7289.44 0.000316519 40 22 0.150069 40 15 1 0 0 1.91884 40 13 1 0 0 1 0 0 1.16464 40 11 70560 51942
840 -7306.7 0.000206682 40 19 0.166698 40 6 1 0 0 1.98412 40 13 1 0 0 1 0 0 1.06389 40 13 70560 52251
880 -7266.28 0.000300561 40 20 0.143667 40 7 1 0 0 1.94758 40 11 1 0 0 1 0 0 1.3094 40 6 70560 52370
