iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -14555.6 0.00123594 0 0 2.20554 0 0 1 0 0 1.37638 0 0 1 0 0 1 0 0 1.28661 0 0 0 0
40 -7002.57 0.00154331 40 23 0.287517 40 14 1 0 0 1.4343 40 12 1 0 0 1 0 0 0.711347 40 14 142000 112036
80 -6873.34 0.001198 40 13 0.243894 40 9 1 0 0 1.53473 40 10 1 0 0 1 0 0 0.821632 40 9 142000 114102
120 -6890.38 0.00124122 40 12 0.22694 40 9 1 0 0 1.55349 40 6 1 0 0 1 0 0 0.929269 40 6 142000 113925
160 -6931.88 0.00182091 40 8 0.185763 40 15 1 0 0 1.63578 40 11 1 0 0 1 0 0 1.15712 40 14 142000 114091
200 -6895.92 0.00168891 40 8 0.174716 40 10 1 0 0 1.76583 40 9 1 0 0 1 0 0 1.2287 40 16 142000 114376
240 -6918.94 0.00198672 40 7 0.162244 40 16 1 0 0 1.61309 40 10 1 0 0 1 0 0 1.33581 40 6 142000 114606
280 -6914.48 0.0020191 40 5 0.195616 40 7 1 0 0 1.84261 40 13 1 0 0 1 0 0 0.960576 40 9 142000 114674
320 -6901.04 0.00124581 40 8 0.222174 40 7 1 0 0 1.66984 40 7 1 0 0 1 0 0 0.872609 40 9 142000 113965
360 -6901.03 0.00164192 40 9 0.205992 40 6 1 0 0 1.59476 40 10 1 0 0 1 0 0 1.04349 40 12 142000 114158
400 -6904.46 0.00166953 40 12 0.202503 40 11 1 0 0 1.70959 40 7 1 0 0 1 0 0 0.929535 40 10 142000 114314
440 -6935.58 0.00185028 40 10 0.164502 40 4 1 0 0 1.7191 40 10 1 0 0 1 0 0 1.20957 40 9 142000 114358
480 -6927.02 0.00109769 40 7 0.203727 40 12 1 0 0 1.8231 40 11 1 0 0 1 0 0 0.95564 40 10 142000 114498
520 -6911.33 0.0013768 40 6 0.187266 40 9 1 0 0 1.54139 40 9 1 0 0 1 0 0 1.09394 40 10 142000 114118
