iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -8970.53 0.00117548 0 0 1.62078 0 0 1 0 0 1.16053 0 0 1 0 0 1 0 0 0.457679 0 0 0 0
40 -6819.82 0.000611829 40 15 0.148765 40 13 1 0 0 1.71388 40 16 1 0 0 1 0 0 1.10552 40 13 67680 50520
80 -6830.68 0.000500299 40 15 0.110067 40 7 1 0 0 1.93895 40 11 1 0 0 1 0 0 1.7649 40 14 67680 51038
120 -6796 0.000403684 40 25 0.105684 40 16 1 0 0 2.09579 40 11 1 0 0 1 0 0 1.75551 40 9 67680 50697
160 -6850.73 0.000568718 40 9 0.109073 40 5 1 0 0 1.85888 40 7 1 0 0 1 0 0 1.87202 40 5 67680 50862
200 -6779.73 0.000362954 40 20 0.10376 40 14 1 0 0 2.20373 40 12 1 0 0 1 0 0 1.64451 40 9 67680 50600
240 -6802.73 0.000230445 40 23 0.10631 40 5 1 0 0 2.38089 40 13 1 0 0 1 0 0 1.45774 40 10 67680 50688
280 -6802.19 0.000367235 40 25 0.118914 40 11 1 0 0 1.80177 40 9 1 0 0 1 0 0 1.62711 40 13 67680 50645
320 -6834.52 0.000363078 40 26 0.11721 40 8 1 0 0 2.15667 40 11 1 0 0 1 0 0 1.45005 40 12 67680 50609
360 -6848.56 0.00020989 40 19 0.136395 40 7 1 0 0 1.91069 40 10 1 0 0 1 0 0 1.41394 40 10 67680 50788
400 -6852.37 0.000363747 40 26 0.125485 40 8 1 0 0 2.05503 40 11 1 0 0 1 0 0 1.21345 40 13 67680 50515
440 -6775.8 0.000389366 40 26 0.118243 40 7 1 0 0 2.31335 40 13 1 0 0 1 0 0 1.29172 40 9 67680 50643
480 -6863.67 0.000130558 40 20 0.107196 40 7 1 0 0 1.96347 40 12 1 0 0 1 0 0 1.77985 40 10 67680 50558
520 -6772 0.000306541 40 17 0.103438 40 7 1 0 0 2.21172 40 10 1 0 0 1 0 0 1.64051 40 11 67680 50586
560 -6946.55 0.000217841 40 21 0.109782 40 13 1 0 0 1.81024 40 7 1 0 0 1 0 0 1.81363 40 12 67680 50556
600 -6847.56 0.000678513 40 19 0.110201 40 8 1 0 0 1.95383 40 7 1 0 0 1 0 0 1.6831 40 6 67680 50616
640 -6844.09 0.000202662 40 24 0.118307 40 11 1 0 0 2.01277 40 5 1 0 0 1 0 0 1.52604 40 2 67680 50557
680 -6830.5 0.000141754 40 22 0.111492 40 10 1 0 0 2.04802 40 7 1 0 0 1 0 0 1.58029 40 5 67680 50446
720 -6774.69 0.000229851 40 27 0.120252 40 7 1 0 0 2.34716 40 15 1 0 0 1 0 0 1.28915 40 13 67680 50480
760 -6830.74 0.000103738 40 25 0.125304 40 10 1 0 0 2.4219 40 9 1 0 0 1 0 0 1.3098 40 9 67680 50738
800 -6802.03 0.000388399 40 21 0.109671 40 8 1 0 0 2.25855 40 9 1 0 0 1 0 0 1.53196 40 7 67680 50796
840 -6865.86 0.000519278 40 9 0.106949 40 13 1 0 0 2.1381 40 10 1 0 0 1 0 0 1.56166 40 11 67680 50707
880 -6873.76 0.000218307 40 20 0.0921019 40 7 1 0 0 2.22616 40 12 1 0 0 1 0 0 1.94789 40 10 67680 50308
920 -6902.25 0.000456244 40 20 0.118571 40 13 1 0 0 2.16534 40 11 1 0 0 1 0 0 1.37321 40 11 67680 50645
960 -6837.77 0.000234774 40 18 0.118609 40 3 1 0 0 2.12182 40 11 1 0 0 1 0 0 1.42216 40 11 67680 50575
1000 -6872.42 0.000369448 40 14 0.10406 40 8 1 0 0 2.3047 40 8 1 0 0 1 0 0 1.70829 40 8 67680 50743
1040 -6812.88 0.000617837 40 11 0.107948 40 10 1 0 0 2.01302 40 8 1 0 0 1 0 0 1.59961 40 11 67680 50650
1080 -6789.3 0.00037691 40 23 0.112957 40 9 1 0 0 2.02128 40 13 1 0 0 1 0 0 1.61126 40 5 67680 50781
1120 -6827.16 6.88935e-05 40 26 0.132661 40 10 1 0 0 1.83729 40 12 1 0 0 1 0 0 1.50584 40 4 67680 50447
1160 -6872.71 0.000318128 40 19 0.120984 40 6 1 0 0 1.97906 40 9 1 0 0 1 0 0 1.64879 40 11 67680 50669
1200 -6905.11 0.000609421 40 24 0.111342 40 10 1 0 0 2.01165 40 13 1 0 0 1 0 0 1.60405 40 7 67680 50638
1240 -6834.53 0.000448903 40 19 0.13154 40 10 1 0 0 1.86788 40 12 1 0 0 1 0 0 1.50086 40 13 67680 50591
1280 -6858.96 0.000415847 40 20 0.117301 40 12 1 0 0 1.88893 40 6 1 0 0 1 0 0 1.63757 40 12 67680 50812
1320 -6823.12 0.000431034 40 17 0.106132 40 13 1 0 0 2.2313 40 5 1 0 0 1 0 0 1.47235 40 7 67680 51041
1360 -6844.28 0.000357282 40 14 0.119942 40 8 1 0 0 2.05522 40 14 1 0 0 1 0 0 1.44 40 7 67680 50809
1400 -6783.79 9.42827e-05 40 20 0.110298 40 10 1 0 0 2.31533 40 8 1 0 0 1 0 0 1.46435 40 10 67680 50846
1440 -6863.4 0.000112406 40 22 0.108655 40 8 1 0 0 2.44111 40 16 1 0 0 1 0 0 1.47013 40 10 67680 50574
1480 -6834.33 0.000141528 40 17 0.103012 40 9 1 0 0 2.06697 40 12 1 0 0 1 0 0 1.62952 40 13 67680 50595
1520 -6907.95 0.000511355 40 22 0.0943003 40 7 1 0 0 2.41181 40 8 1 0 0 1 0 0 1.73448 40 7 67680 50605
1560 -6841.05 0.000719698 40 16 0.105813 40 16 1 0 0 2.00975 40 8 1 0 0 1 0 0 1.62083 40 12 67680 51037
1600 -6831.08 0.000308661 40 20 0.089948 40 7 1 0 0 2.53892 40 11 1 0 0 1 0 0 1.78212 40 10 67680 50736
1640 -6788.12 0.000159756 40 23 0.105396 40 9 1 0 0 2.16793 40 10 1 0 0 1 0 0 1.5747 40 15 67680 50526
1680 -6809.74 0.000572685 40 18 0.111074 40 8 1 0 0 2.24499 40 11 1 0 0 1 0 0 1.3966 40 13 67680 50383
1720 -6812.45 0.000280733 40 21 0.12394 40 11 1 0 0 1.83623 40 8 1 0 0 1 0 0 1.46484 40 13 67680 50663
1760 -6893.64 0.000463212 40 19 0.100989 40 8 1 0 0 2.13852 40 11 1 0 0 1 0 0 1.73344 40 12 67680 50832
1800 -6870.02 0.000185704 40 23 0.0953239 40 6 1 0 0 2.31366 40 3 1 0 0 1 0 0 1.63289 40 6 67680 50864
1840 -6891.54 0.00049822 40 24 0.0950085 40 5 1 0 0 2.51249 40 10 1 0 0 1 0 0 1.53368 40 9 67680 50916
1880 -6854.66 0.000563522 40 17 0.102313 40 12 1 0 0 2.09841 40 14 1 0 0 1 0 0 1.78273 40 4 67680 50680
1920 -6855.83 0.000262686 40 22 0.12338 40 12 1 0 0 2.05752 40 6 1 0 0 1 0 0 1.4673 40 9 67680 50910
1960 -6810.96 0.000514688 40 17 0.102552 40 11 1 0 0 2.40371 40 11 1 0 0 1 0 0 1.57653 40 8 67680 50723
2000 -6815.74 0.000210624 40 20 0.112927 40 6 1 0 0 2.157 40 13 1 0 0 1 0 0 1.64624 40 8 67680 50457
2040 -6782.1 0.000201096 40 24 0.120267 40 8 1 0 0 2.21568 40 6 1 0 0 1 0 0 1.35798 40 6 67680 50383
2080 -6818.48 0.000480489 40 20 0.113042 40 9 1 0 0 2.32192 40 12 1 0 0 1 0 0 1.4885 40 11 67680 50854
2120 -6788.02 0.000758694 40 16 0.0841234 40 12 1 0 0 2.70145 40 22 1 0 0 1 0 0 1.71538 40 3 67680 50896
2160 -6825.87 9.60456e-05 40 19 0.107471 40 10 1 0 0 1.71536 40 11 1 0 0 1 0 0 1.89209 40 13 67680 50776
2200 -6830.22 0.000248696 40 18 0.0942058 40 9 1 0 0 2.41768 40 14 1 0 0 1 0 0 1.77354 40 5 67680 50802
2240 -6807.9 0.000586249 40 24 0.0947016 40 6 1 0 0 1.94516 40 10 1 0 0 1 0 0 1.9563 40 12 67680 50895
2280 -6828.55 0.000678232 40 18 0.111827 40 7 1 0 0 2.22689 40 10 1 0 0 1 0 0 1.58622 40 9 67680 50761
2320 -6794.39 0.000404114 40 16 0.0863011 40 10 1 0 0 2.03556 40 6 1 0 0 1 0 0 2.14744 40 13 67680 50877
2360 -6815.64 0.000169896 40 23 0.112494 40 13 1 0 0 2.10508 40 13 1 0 0 1 0 0 1.60774 40 10 67680 50498
2400 -6808.74 0.00023872 40 21 0.112634 40 8 1 0 0 1.98762 40 8 1 0 0 1 0 0 1.64881 40 8 67680 50726
2440 -6791.32 3.7917e-05 40 31 0.105721 40 11 1 0 0 2.07365 40 8 1 0 0 1 0 0 1.85185 40 10 67680 50214
2480 -6804.98 0.000837371 40 27 0.1142 40 10 1 0 0 2.30648 40 7 1 0 0 1 0 0 1.45848 40 9 67680 51089
2520 -6850.95 0.000542297 40 13 0.109475 40 10 1 0 0 2.09365 40 7 1 0 0 1 0 0 1.46746 40 8 67680 51067
2560 -6774.94 0.000268768 40 17 0.10528 40 15 1 0 0 2.31369 40 10 1 0 0 1 0 0 1.69081 40 8 67680 50876
