iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -12415.7 0.000778684 0 0 3.27687 0 0 1 0 0 1.68425 0 0 1 0 0 1 0 0 0.325713 0 0 0 0
40 -7155.74 0.000250109 40 20 0.195037 40 22 1 0 0 1.92493 40 13 1 0 0 1 0 0 0.915744 40 16 69680 49323
80 -7187.82 0.000315435 40 20 0.141181 40 9 1 0 0 2.2016 40 6 1 0 0 1 0 0 1.19227 40 13 69680 51645
120 -7109.96 0.000208549 40 20 0.160825 40 8 1 0 0 1.95031 40 11 1 0 0 1 0 0 1.26445 40 12 69680 51468
160 -7116.35 0.000684754 40 18 0.161151 40 10 1 0 0 2.03714 40 7 1 0 0 1 0 0 1.21161 40 13 69680 51287
200 -7202.33 0.000274364 40 19 0.148208 40 10 1 0 0 1.77222 40 13 1 0 0 1 0 0 1.44211 40 12 69680 51510
240 -7197.73 0.00021297 40 19 0.14204 40 8 1 0 0 2.36548 40 10 1 0 0 1 0 0 1.16802 40 8 69680 51813
280 -7145.43 0.000608571 40 18 0.119083 40 12 1 0 0 2.60243 40 16 1 0 0 1 0 0 1.29902 40 11 69680 51444
320 -7147.06 0.000407788 40 20 0.114748 40 5 1 0 0 2.19972 40 11 1 0 0 1 0 0 1.45264 40 8 69680 51610
360 -7162.87 0.000779203 40 17 0.131804 40 7 1 0 0 1.9558 40 11 1 0 0 1 0 0 1.40755 40 6 69680 51590
400 -7195.79 0.000376432 40 15 0.122065 40 5 1 0 0 2.20166 40 11 1 0 0 1 0 0 1.47758 40 9 69680 51353
440 -7187.07 0.000338138 40 21 0.125529 40 8 1 0 0 1.93591 40 12 1 0 0 1 0 0 1.45054 40 12 69680 51458
480 -7099.7 0.000330989 40 22 0.139279 40 9 1 0 0 2.30633 40 5 1 0 0 1 0 0 1.26062 40 11 69680 51296
520 -7227.89 0.000453445 40 16 0.141148 40 13 1 0 0 2.14737 40 8 1 0 0 1 0 0 1.26774 40 10 69680 51390
560 -7130.07 0.000479084 40 15 0.128173 40 13 1 0 0 1.90125 40 10 1 0 0 1 0 0 1.61502 40 7 69680 51648
600 -7156.09 5.31683e-05 40 19 0.139667 40 11 1 0 0 2.21557 40 11 1 0 0 1 0 0 1.36219 40 14 69680 51672
640 -7126.14 0.000575785 40 29 0.131187 40 6 1 0 0 1.90004 40 10 1 0 0 1 0 0 1.40337 40 10 69680 51202
680 -7185.23 0.000794064 40 23 0.132356 40 9 1 0 0 2.31372 40 13 1 0 0 1 0 0 1.15569 40 5 69680 51375
720 -7179.87 0.000404693 40 15 0.135723 40 3 1 0 0 2.21857 40 14 1 0 0 1 0 0 1.1906 40 8 69680 51875
760 -7120.73 0.000286949 40 15 0.155381 40 9 1 0 0 2.01183 40 9 1 0 0 1 0 0 1.17266 40 8 69680 51811
800 -7141.87 0.000789998 40 21 0.128265 40 11 1 0 0 2.06078 40 5 1 0 0 1 0 0 1.41886 40 10 69680 51389
840 -7158.4 0.000716927 40 17 0.153225 40 12 1 0 0 2.13697 40 12 1 0 0 1 0 0 1.12341 40 10 69680 51699
880 -7190.56 0.000475037 40 16 0.113889 40 10 1 0 0 2.21702 40 9 1 0 0 1 0 0 1.66674 40 15 69680 51482
920 -7186.13 0.000117369 40 20 0.131862 40 7 1 0 0 2.40877 40 11 1 0 0 1 0 0 1.1732 40 9 69680 51804
960 -7142.04 0.000309652 40 25 0.122061 40 7 1 0 0 2.23944 40 4 1 0 0 1 0 0 1.47127 40 11 69680 51328
1000 -7212.9 0.000333432 40 20 0.0976971 40 13 1 0 0 2.64255 40 10 1 0 0 1 0 0 1.56816 40 8 69680 51194
1040 -7061.06 0.000278485 40 16 0.114901 40 6 1 0 0 2.23883 40 13 1 0 0 1 0 0 1.63064 40 8 69680 51260
1080 -7158.87 0.000396546 40 11 0.137145 40 11 1 0 0 2.0211 40 14 1 0 0 1 0 0 1.31548 40 5 69680 51297
1120 -7248.18 9.65045e-05 40 20 0.138591 40 8 1 0 0 2.22846 40 10 1 0 0 1 0 0 1.25294 40 11 69680 51497
1160 -7127.02 0.000382964 40 17 0.168253 40 9 1 0 0 1.97206 40 13 1 0 0 1 0 0 1.13709 40 5 69680 51146
1200 -7181.79 0.000189906 40 26 0.145126 40 9 1 0 0 2.16706 40 10 1 0 0 1 0 0 1.20848 40 11 69680 51379
1240 -7189.47 0.000262789 40 15 0.143959 40 10 1 0 0 2.20472 40 7 1 0 0 1 0 0 1.04584 40 5 69680 51606
1280 -7170.94 0.00064788 40 10 0.114893 40 6 1 0 0 2.45596 40 12 1 0 0 1 0 0 1.41314 40 13 69680 51927
1320 -7171.51 0.000524671 40 11 0.102886 40 11 1 0 0 2.47984 40 10 1 0 0 1 0 0 1.59592 40 13 69680 52031
1360 -7172.26 0.000380239 40 12 0.126622 40 11 1 0 0 2.3541 40 8 1 0 0 1 0 0 1.27516 40 14 69680 52093
1400 -7140.71 0.000258628 40 18 0.143839 40 9 1 0 0 1.92829 40 11 1 0 0 1 0 0 1.28228 40 13 69680 51472
1440 -7168.89 0.00033854 40 13 0.133465 40 7 1 0 0 2.02598 40 13 1 0 0 1 0 0 1.50387 40 16 69680 51702
1480 -7170.28 0.000516274 40 10 0.135476 40 8 1 0 0 2.25739 40 14 1 0 0 1 0 0 1.22046 40 9 69680 51736
1520 -7140.41 0.000529786 40 17 0.145847 40 18 1 0 0 2.11545 40 16 1 0 0 1 0 0 1.26288 40 8 69680 51641
1560 -7210.14 0.000461722 40 20 0.150607 40 12 1 0 0 2.24929 40 7 1 0 0 1 0 0 1.11881 40 10 69680 51186
1600 -7189.3 0.000490047 40 14 0.144047 40 4 1 0 0 1.88181 40 7 1 0 0 1 0 0 1.41009 40 11 69680 51319
1640 -7146.45 0.000693663 40 17 0.111761 40 9 1 0 0 2.5521 40 13 1 0 0 1 0 0 1.37644 40 11 69680 51569
1680 -7129.45 0.000492363 40 14 0.120119 40 8 1 0 0 2.33371 40 14 1 0 0 1 0 0 1.36014 40 6 69680 51425
1720 -7128.78 0.000323078 40 20 0.144492 40 12 1 0 0 1.95192 40 16 1 0 0 1 0 0 1.31269 40 13 69680 51417
1760 -7094.52 0.00025517 40 19 0.121722 40 10 1 0 0 2.4105 40 12 1 0 0 1 0 0 1.3913 40 12 69680 51494
1800 -7094.83 3.01281e-05 40 20 0.130714 40 9 1 0 0 2.05288 40 4 1 0 0 1 0 0 1.36298 40 9 69680 51566
1840 -7165.35 1.17141e-05 40 23 0.167122 40 7 1 0 0 1.67455 40 13 1 0 0 1 0 0 1.24778 40 13 69680 50956
1880 -7197.18 0.000195115 40 21 0.135478 40 10 1 0 0 1.9617 40 8 1 0 0 1 0 0 1.31857 40 7 69680 51389
1920 -7204 0.000369146 40 23 0.129045 40 12 1 0 0 2.05825 40 11 1 0 0 1 0 0 1.38326 40 12 69680 51317
1960 -7165.07 0.000101263 40 17 0.133318 40 8 1 0 0 2.16417 40 9 1 0 0 1 0 0 1.32227 40 8 69680 51457
2000 -7211.64 0.00052203 40 23 0.109357 40 12 1 0 0 2.00981 40 14 1 0 0 1 0 0 1.81202 40 13 69680 51234
2040 -7160.18 0.00040434 40 20 0.118716 40 14 1 0 0 2.03698 40 5 1 0 0 1 0 0 1.62803 40 14 69680 51307
2080 -7136.47 0.000352815 40 17 0.124126 40 7 1 0 0 2.32576 40 7 1 0 0 1 0 0 1.37165 40 10 69680 51310
2120 -7176.15 0.000167227 40 19 0.126954 40 5 1 0 0 2.36383 40 9 1 0 0 1 0 0 1.36892 40 7 69680 51517
2160 -7134.61 0.000853186 40 20 0.132446 40 10 1 0 0 2.28286 40 11 1 0 0 1 0 0 1.31288 40 10 69680 51683
2200 -7186.36 0.000537722 40 12 0.133976 40 4 1 0 0 1.79704 40 12 1 0 0 1 0 0 1.57161 40 11 69680 51544
2240 -7185.65 0.00103492 40 18 0.121181 40 12 1 0 0 2.11541 40 10 1 0 0 1 0 0 1.31356 40 8 69680 51819
