iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -64150.5 0.00254713 0 0 5.03554 0 0 1 0 0 6.87448 0 0 1 0 0 1 0 0 0.827504 0 0 0 0
40 -7316.08 7.33493e-05 40 28 0.724931 40 18 1 0 0 0.426777 40 21 1 0 0 1 0 0 0.371733 40 18 69400 40172
80 -7169.67 8.38883e-06 40 27 0.364587 40 12 1 0 0 0.537324 40 11 1 0 0 1 0 0 0.851077 40 12 69400 52395
120 -7243.26 5.17393e-05 40 24 0.330702 40 11 1 0 0 0.642941 40 12 1 0 0 1 0 0 1.00711 40 11 69400 52504
160 -7320.08 0.000307562 40 21 0.344627 40 9 1 0 0 0.631523 40 14 1 0 0 1 0 0 0.842001 40 10 69400 52798
200 -7224.76 0.000231214 40 25 0.331431 40 9 1 0 0 0.578063 40 11 1 0 0 1 0 0 1.01847 40 10 69400 52773
240 -7136.07 0.000396631 40 14 0.356186 40 8 1 0 0 0.56878 40 5 1 0 0 1 0 0 0.876508 40 10 69400 52759
280 -7233.43 0.000137526 40 15 0.359394 40 9 1 0 0 0.577696 40 13 1 0 0 1 0 0 0.910103 40 8 69400 52658
320 -7265.08 2.74246e-05 40 29 0.32076 40 5 1 0 0 0.603331 40 6 1 0 0 1 0 0 1.10754 40 15 69400 52323
360 -7223.79 5.72606e-05 40 30 0.356533 40 8 1 0 0 0.557342 40 12 1 0 0 1 0 0 0.940301 40 10 69400 52223
400 -7260.87 9.94937e-05 40 25 0.335428 40 4 1 0 0 0.634254 40 12 1 0 0 1 0 0 0.95335 40 5 69400 52539
440 -7294.13 3.14377e-05 40 17 0.325208 40 9 1 0 0 0.560246 40 7 1 0 0 1 0 0 1.01255 40 11 69400 52424
480 -7302.34 0.000249842 40 22 0.313259 40 8 1 0 0 0.64309 40 7 1 0 0 1 0 0 0.969683 40 8 69400 52547
520 -7291.02 7.85989e-05 40 29 0.323233 40 7 1 0 0 0.623646 40 2 1 0 0 1 0 0 1.10141 40 12 69400 52396
560 -7315.25 0.000308452 40 25 0.324839 40 8 1 0 0 0.658692 40 6 1 0 0 1 0 0 0.878111 40 11 69400 52631
600 -7275.95 0.00017907 40 26 0.302079 40 7 1 0 0 0.634054 40 6 1 0 0 1 0 0 1.07289 40 10 69400 52374
