iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -7826.52 0.000769526 0 0 0.272794 0 0 1 0 0 0.383434 0 0 1 0 0 1 0 0 1.47861 0 0 0 0
40 -6921.71 0.00215184 40 8 0.302334 40 7 1 0 0 0.580773 40 4 1 0 0 1 0 0 0.996951 40 9 139760 113558
80 -6884.77 0.00199765 40 8 0.311136 40 12 1 0 0 0.681397 40 7 1 0 0 1 0 0 1.02115 40 7 139760 113427
120 -6884.8 0.00173651 40 10 0.300686 40 2 1 0 0 0.631914 40 8 1 0 0 1 0 0 1.09439 40 7 139760 113087
160 -6902.39 0.00164372 40 6 0.259558 40 7 1 0 0 0.768457 40 9 1 0 0 1 0 0 1.14056 40 12 139760 113486
200 -6892.16 0.00222711 40 9 0.264162 40 8 1 0 0 0.717952 40 14 1 0 0 1 0 0 1.19853 40 12 139760 113299
240 -6862.07 0.00164746 40 10 0.304071 40 10 1 0 0 0.667475 40 8 1 0 0 1 0 0 1.14278 40 13 139760 113302
280 -6893.44 0.00107067 40 10 0.353053 40 15 1 0 0 0.572448 40 7 1 0 0 1 0 0 0.996083 40 13 139760 113172
320 -6889.92 0.0025557 40 6 0.296101 40 10 1 0 0 0.654412 40 7 1 0 0 1 0 0 1.10046 40 10 139760 113422
360 -6836.49 0.0016104 40 7 0.306275 40 14 1 0 0 0.647076 40 12 1 0 0 1 0 0 1.07722 40 10 139760 113189
400 -6894.35 0.00159495 40 5 0.29844 40 11 1 0 0 0.683954 40 9 1 0 0 1 0 0 1.0475 40 11 139760 113300
440 -6887.71 0.00238507 40 7 0.224957 40 9 1 0 0 0.675489 40 12 1 0 0 1 0 0 1.53937 40 12 139760 113446
480 -6844.24 0.00179584 40 7 0.2922 40 17 1 0 0 0.639465 40 6 1 0 0 1 0 0 1.13128 40 13 139760 113276
520 -6867.79 0.00171231 40 14 0.27287 40 5 1 0 0 0.653078 40 10 1 0 0 1 0 0 1.23981 40 11 139760 113194
560 -6880.78 0.00209982 40 11 0.325185 40 11 1 0 0 0.581199 40 6 1 0 0 1 0 0 1.08097 40 7 139760 113442
600 -6833.09 0.00182025 40 11 0.275381 40 13 1 0 0 0.654889 40 9 1 0 0 1 0 0 1.13449 40 11 139760 113199
640 -6860.96 0.00136128 40 9 0.26712 40 13 1 0 0 0.702227 40 4 1 0 0 1 0 0 1.15881 40 9 139760 113481
680 -6871.77 0.00195233 40 4 0.319619 40 5 1 0 0 0.566671 40 12 1 0 0 1 0 0 1.09611 40 8 139760 113264
720 -6888.61 0.00163958 40 6 0.312372 40 10 1 0 0 0.675288 40 16 1 0 0 1 0 0 1.03809 40 8 139760 113131
760 -6890.83 0.00217638 40 10 0.276507 40 12 1 0 0 0.669015 40 8 1 0 0 1 0 0 1.14183 40 9 139760 113161
800 -6870.55 0.00194525 40 6 0.276129 40 11 1 0 0 0.77638 40 8 1 0 0 1 0 0 1.21466 40 13 139760 113102
840 -6864.1 0.00190562 40 11 0.289319 40 10 1 0 0 0.682174 40 8 1 0 0 1 0 0 1.12022 40 13 139760 113467
880 -6834.67 0.00217726 40 7 0.274416 40 7 1 0 0 0.757547 40 9 1 0 0 1 0 0 1.0154 40 5 139760 113416
920 -6888.35 0.00244749 40 7 0.255947 40 11 1 0 0 0.715714 40 11 1 0 0 1 0 0 1.15779 40 11 139760 112974
960 -6872.82 0.00167015 40 10 0.294747 40 8 1 0 0 0.719637 40 7 1 0 0 1 0 0 1.08659 40 12 139760 113221
1000 -6849.81 0.00165415 40 12 0.300932 40 11 1 0 0 0.59626 40 7 1 0 0 1 0 0 1.20276 40 12 139760 113186
1040 -6869.79 0.00160625 40 9 0.315334 40 17 1 0 0 0.671864 40 13 1 0 0 1 0 0 0.920187 40 7 139760 113259
1080 -6899.18 0.00314062 40 9 0.275886 40 12 1 0 0 0.593649 40 8 1 0 0 1 0 0 1.07523 40 12 139760 113927
1120 -6834.52 0.00226402 40 7 0.303087 40 10 1 0 0 0.704454 40 12 1 0 0 1 0 0 1.03476 40 13 139760 113666
1160 -6858.02 0.00170627 40 8 0.305687 40 11 1 0 0 0.607069 40 10 1 0 0 1 0 0 1.03085 40 7 139760 113084
1200 -6899.75 0.00159902 40 9 0.369179 40 10 1 0 0 0.588136 40 14 1 0 0 1 0 0 0.927984 40 14 139760 113185
1240 -6859.35 0.00186514 40 10 0.296596 40 13 1 0 0 0.625616 40 12 1 0 0 1 0 0 1.09642 40 11 139760 113284
1280 -6911.31 0.00201034 40 8 0.354327 40 9 1 0 0 0.629556 40 7 1 0 0 1 0 0 0.928978 40 7 139760 113207
1320 -6864.43 0.00185519 40 12 0.312645 40 11 1 0 0 0.651343 40 8 1 0 0 1 0 0 0.996723 40 10 139760 113189
1360 -6913.55 0.00174095 40 10 0.353722 40 8 1 0 0 0.52721 40 8 1 0 0 1 0 0 1.0604 40 10 139760 113222
1400 -6849.62 0.00159955 40 11 0.320452 40 8 1 0 0 0.614459 40 10 1 0 0 1 0 0 0.983047 40 9 139760 113214
1440 -6870.02 0.00196643 40 5 0.318209 40 13 1 0 0 0.622254 40 12 1 0 0 1 0 0 0.95735 40 7 139760 113235
1480 -6873.12 0.00191663 40 11 0.318096 40 7 1 0 0 0.629745 40 11 1 0 0 1 0 0 1.01333 40 10 139760 113428
1520 -6879.76 0.0012369 40 11 0.317289 40 12 1 0 0 0.669919 40 13 1 0 0 1 0 0 0.964915 40 8 139760 113210
1560 -6857.55 0.00153835 40 10 0.281814 40 9 1 0 0 0.695702 40 9 1 0 0 1 0 0 1.05431 40 7 139760 113472
1600 -6851.56 0.00203973 40 10 0.272188 40 10 1 0 0 0.724913 40 8 1 0 0 1 0 0 1.20148 40 10 139760 113623
1640 -6853.36 0.00200474 40 10 0.325822 40 7 1 0 0 0.537822 40 10 1 0 0 1 0 0 1.03286 40 13 139760 113077
1680 -6843.5 0.00185764 40 4 0.315463 40 12 1 0 0 0.658845 40 16 1 0 0 1 0 0 1.02528 40 12 139760 113326
1720 -6857.23 0.00169129 40 6 0.310395 40 6 1 0 0 0.640088 40 6 1 0 0 1 0 0 1.07453 40 11 139760 113150
1760 -6890.23 0.000958927 40 5 0.327539 40 6 1 0 0 0.690315 40 9 1 0 0 1 0 0 1.05806 40 7 139760 113430
1800 -6845.5 0.00143982 40 11 0.28067 40 7 1 0 0 0.641473 40 8 1 0 0 1 0 0 1.058 40 8 139760 113438
1840 -6898.1 0.00174166 40 9 0.303359 40 9 1 0 0 0.614415 40 5 1 0 0 1 0 0 1.11994 40 9 139760 113452
1880 -6868.04 0.00178802 40 6 0.261388 40 8 1 0 0 0.803698 40 5 1 0 0 1 0 0 1.09737 40 7 139760 113538
1920 -6839.69 0.0014618 40 3 0.299577 40 10 1 0 0 0.645057 40 12 1 0 0 1 0 0 1.03406 40 11 139760 113451
1960 -6865.34 0.00202647 40 5 0.335604 40 13 1 0 0 0.552527 40 6 1 0 0 1 0 0 1.12009 40 8 139760 113641
2000 -6873.86 0.00175493 40 8 0.307896 40 18 1 0 0 0.667142 40 8 1 0 0 1 0 0 0.99351 40 11 139760 113257
2040 -6841.16 0.00141076 40 13 0.256039 40 9 1 0 0 0.748245 40 6 1 0 0 1 0 0 1.24988 40 12 139760 113336
2080 -6894.07 0.00211733 40 4 0.272191 40 10 1 0 0 0.702735 40 8 1 0 0 1 0 0 1.13238 40 5 139760 113448
2120 -6872.31 0.00200959 40 7 0.32161 40 11 1 0 0 0.598236 40 8 1 0 0 1 0 0 1.10899 40 13 139760 113612
2160 -6865.18 0.00172447 40 10 0.305946 40 8 1 0 0 0.601317 40 9 1 0 0 1 0 0 1.09697 40 15 139760 113145
2200 -6857.26 0.00164779 40 10 0.291442 40 8 1 0 0 0.659132 40 11 1 0 0 1 0 0 1.11251 40 17 139760 113537
2240 -6839.34 0.00136466 40 5 0.348258 40 4 1 0 0 0.575861 40 13 1 0 0 1 0 0 1.01432 40 15 139760 113483
2280 -6874.19 0.0019405 40 12 0.295658 40 16 1 0 0 0.677369 40 13 1 0 0 1 0 0 0.945803 40 13 139760 113448
2320 -6876.78 0.0019797 40 10 0.277818 40 6 1 0 0 0.594537 40 9 1 0 0 1 0 0 1.09091 40 15 139760 113292
2360 -6881.98 0.0025801 40 8 0.257051 40 6 1 0 0 0.774517 40 13 1 0 0 1 0 0 1.11337 40 10 139760 113393
2400 -6852.46 0.00146357 40 12 0.270963 40 7 1 0 0 0.722176 40 11 1 0 0 1 0 0 1.16901 40 9 139760 113377
2440 -6896.77 0.00178735 40 14 0.303234 40 11 1 0 0 0.664562 40 8 1 0 0 1 0 0 1.12862 40 7 139760 113557
2480 -6862.31 0.00172305 40 9 0.306706 40 8 1 0 0 0.715546 40 4 1 0 0 1 0 0 1.01622 40 6 139760 113393
2520 -6871.87 0.00295602 40 7 0.282093 40 9 1 0 0 0.752847 40 7 1 0 0 1 0 0 1.0397 40 10 139760 113500
2560 -6894.29 0.0020804 40 7 0.296897 40 12 1 0 0 0.736647 40 7 1 0 0 1 0 0 0.96881 40 13 139760 113514
2600 -6884.26 0.00137862 40 8 0.287229 40 9 1 0 0 0.655008 40 7 1 0 0 1 0 0 1.20064 40 16 139760 113112
2640 -6884.14 0.0024567 40 9 0.266567 40 4 1 0 0 0.608967 40 11 1 0 0 1 0 0 1.31943 40 9 139760 113401
2680 -6854.17 0.00162963 40 3 0.288318 40 8 1 0 0 0.630348 40 10 1 0 0 1 0 0 1.12583 40 14 139760 113294
2720 -6856.3 0.00136167 40 11 0.335655 40 10 1 0 0 0.601921 40 5 1 0 0 1 0 0 1.019 40 7 139760 113140
2760 -6855.93 0.00172303 40 12 0.364118 40 13 1 0 0 0.62784 40 11 1 0 0 1 0 0 0.813824 40 8 139760 113362
2800 -6861.59 0.00147538 40 12 0.279096 40 11 1 0 0 0.621798 40 10 1 0 0 1 0 0 1.16637 40 7 139760 113209
2840 -6856.35 0.00220806 40 8 0.311003 40 11 1 0 0 0.665087 40 14 1 0 0 1 0 0 0.990849 40 15 139760 113601
2880 -6848.57 0.00181125 40 8 0.307868 40 11 1 0 0 0.631285 40 15 1 0 0 1 0 0 1.08203 40 6 139760 113086
2920 -6892.69 0.00124809 40 9 0.298899 40 12 1 0 0 0.600786 40 11 1 0 0 1 0 0 1.12692 40 12 139760 113322
2960 -6883.87 0.00106736 40 10 0.311369 40 7 1 0 0 0.65375 40 10 1 0 0 1 0 0 1.12531 40 9 139760 113232
3000 -6866.89 0.00212435 40 12 0.307948 40 9 1 0 0 0.695665 40 13 1 0 0 1 0 0 1.02763 40 13 139760 113112
3040 -6869.42 0.00158888 40 9 0.269912 40 10 1 0 0 0.763151 40 5 1 0 0 1 0 0 1.1184 40 9 139760 113295
3080 -6896.66 0.00219959 40 11 0.323685 40 7 1 0 0 0.667734 40 10 1 0 0 1 0 0 0.957108 40 8 139760 113049
3120 -6865.25 0.00258702 40 8 0.31891 40 7 1 0 0 0.542352 40 5 1 0 0 1 0 0 1.07424 40 10 139760 113359
3160 -6834.5 0.00167197 40 15 0.327094 40 18 1 0 0 0.64508 40 11 1 0 0 1 0 0 0.972891 40 11 139760 113218
3200 -6869.44 0.00253364 40 9 0.301944 40 10 1 0 0 0.700777 40 11 1 0 0 1 0 0 0.938584 40 6 139760 113480
3240 -6868.34 0.0020989 40 10 0.314259 40 13 1 0 0 0.647975 40 14 1 0 0 1 0 0 1.01023 40 15 139760 113449
3280 -6873.66 0.00223874 40 6 0.281795 40 11 1 0 0 0.704088 40 15 1 0 0 1 0 0 1.03878 40 11 139760 113411
3320 -6873.38 0.00114824 40 8 0.311474 40 8 1 0 0 0.58866 40 11 1 0 0 1 0 0 1.151 40 9 139760 113067
