iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -10587.8 0.000154533 0 0 3.3734 0 0 1 0 0 0.320824 0 0 1 0 0 1 0 0 0.672572 0 0 0 0
40 -7287.8 0.000109001 40 22 0.374914 40 22 1 0 0 0.607052 40 13 1 0 0 1 0 0 0.9663 40 18 70280 51619
80 -7291.65 0.000168315 40 27 0.314784 40 11 1 0 0 0.54632 40 5 1 0 0 1 0 0 1.18472 40 7 70280 52767
120 -7290.36 0.000170952 40 26 0.301526 40 11 1 0 0 0.586682 40 8 1 0 0 1 0 0 1.38123 40 14 70280 52890
160 -7347.82 0.000279908 40 24 0.29991 40 11 1 0 0 0.719319 40 13 1 0 0 1 0 0 1.13962 40 7 70280 52916
200 -7263.55 0.000226564 40 23 0.254676 40 11 1 0 0 0.576029 40 8 1 0 0 1 0 0 1.36753 40 9 70280 52620
240 -7339.31 0.000222086 40 22 0.283885 40 8 1 0 0 0.664075 40 11 1 0 0 1 0 0 1.29958 40 8 70280 52929
280 -7306.61 2.94097e-06 40 28 0.331646 40 7 1 0 0 0.57831 40 11 1 0 0 1 0 0 1.13096 40 2 70280 52669
320 -7287.85 0.000137181 40 30 0.331303 40 6 1 0 0 0.646138 40 7 1 0 0 1 0 0 1.09376 40 9 70280 52755
360 -7294.77 3.07597e-05 40 32 0.327708 40 10 1 0 0 0.608592 40 10 1 0 0 1 0 0 1.1234 40 11 70280 52904
400 -7272.13 0.000130216 40 27 0.346907 40 8 1 0 0 0.602815 40 4 1 0 0 1 0 0 1.05556 40 7 70280 52626
440 -7359.33 0.000156797 40 29 0.318712 40 14 1 0 0 0.568005 40 11 1 0 0 1 0 0 1.20573 40 4 70280 52818
480 -7321.22 8.71486e-05 40 27 0.33517 40 10 1 0 0 0.63907 40 11 1 0 0 1 0 0 1.07134 40 9 70280 52873
520 -7365.79 0.000134188 40 26 0.342672 40 8 1 0 0 0.623454 40 7 1 0 0 1 0 0 1.08305 40 11 70280 52668
560 -7313.39 0.000163789 40 27 0.311986 40 13 1 0 0 0.685623 40 11 1 0 0 1 0 0 1.09669 40 10 70280 52762
600 -7308.55 0.000137169 40 25 0.290281 40 8 1 0 0 0.650866 40 12 1 0 0 1 0 0 1.22911 40 7 70280 53066
640 -7383.95 0.000233007 40 29 0.285304 40 5 1 0 0 0.59247 40 12 1 0 0 1 0 0 1.24422 40 8 70280 52565
680 -7293.97 0.000496215 40 20 0.285026 40 11 1 0 0 0.562314 40 7 1 0 0 1 0 0 1.35065 40 10 70280 53040
720 -7300.68 0.000214972 40 29 0.255533 40 14 1 0 0 0.699521 40 11 1 0 0 1 0 0 1.44784 40 11 70280 52702
760 -7288.33 0.000124647 40 25 0.270091 40 5 1 0 0 0.621202 40 15 1 0 0 1 0 0 1.38171 40 4 70280 52828
800 -7336.2 0.000190876 40 29 0.296812 40 6 1 0 0 0.583459 40 9 1 0 0 1 0 0 1.32071 40 8 70280 52938
840 -7323.77 1.03284e-05 40 24 0.269305 40 12 1 0 0 0.617636 40 11 1 0 0 1 0 0 1.31036 40 12 70280 52915
880 -7306.89 0.000141519 40 31 0.314776 40 11 1 0 0 0.543162 40 10 1 0 0 1 0 0 1.22171 40 11 70280 52684
920 -7342.93 3.70842e-05 40 23 0.315708 40 11 1 0 0 0.630199 40 13 1 0 0 1 0 0 1.2576 40 7 70280 52986
960 -7306.75 0.000194268 40 30 0.309646 40 6 1 0 0 0.649837 40 7 1 0 0 1 0 0 1.24653 40 9 70280 52893
1000 -7311.48 0.000365529 40 22 0.284981 40 10 1 0 0 0.658411 40 12 1 0 0 1 0 0 1.29914 40 9 70280 52830
1040 -7259.3 3.10644e-05 40 29 0.287909 40 11 1 0 0 0.630602 40 3 1 0 0 1 0 0 1.30854 40 10 70280 52928
1080 -7324.02 9.81973e-05 40 27 0.285082 40 6 1 0 0 0.666936 40 10 1 0 0 1 0 0 1.18007 40 13 70280 52913
1120 -7318.84 9.36464e-05 40 31 0.302392 40 10 1 0 0 0.665928 40 7 1 0 0 1 0 0 1.25027 40 8 70280 52914
1160 -7300.37 0.0001565 40 26 0.272954 40 11 1 0 0 0.612173 40 11 1 0 0 1 0 0 1.33932 40 8 70280 52733
1200 -7316.51 7.28214e-05 40 18 0.280699 40 6 1 0 0 0.700466 40 13 1 0 0 1 0 0 1.26647 40 5 70280 52832
1240 -7212.66 0.000208353 40 27 0.291908 40 10 1 0 0 0.621654 40 10 1 0 0 1 0 0 1.2384 40 11 70280 52609
1280 -7278.52 0.000202318 40 23 0.294195 40 12 1 0 0 0.623869 40 6 1 0 0 1 0 0 1.35181 40 9 70280 52854
1320 -7351.49 0.000175894 40 26 0.284365 40 8 1 0 0 0.641628 40 7 1 0 0 1 0 0 1.12936 40 10 70280 52694
1360 -7275.66 8.01974e-05 40 25 0.316951 40 12 1 0 0 0.596296 40 10 1 0 0 1 0 0 1.13425 40 5 70280 52827
1400 -7263.04 1.07449e-05 40 35 0.283739 40 7 1 0 0 0.616377 40 5 1 0 0 1 0 0 1.36587 40 4 70280 52727
