iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -17682.2 0.00063493 0 0 9.05618 0 0 1 0 0 0.581422 0 0 1 0 0 1 0 0 0.406943 0 0 0 0
40 -6723.11 0.00173442 40 17 0.425797 40 20 1 0 0 0.529915 40 13 1 0 0 1 0 0 0.866015 40 22 138720 110313
80 -6720.84 0.00159689 40 8 0.397548 40 12 1 0 0 0.474392 40 12 1 0 0 1 0 0 0.96735 40 9 138720 111723
120 -6729.81 0.00215388 40 9 0.379533 40 7 1 0 0 0.479686 40 11 1 0 0 1 0 0 0.827914 40 10 138720 112192
160 -6744.36 0.000967319 40 10 0.358857 40 10 1 0 0 0.513375 40 10 1 0 0 1 0 0 0.922147 40 8 138720 112521
200 -6755.12 0.00177699 40 7 0.359747 40 16 1 0 0 0.526336 40 12 1 0 0 1 0 0 0.85552 40 12 138720 112244
240 -6792.22 0.00178018 40 8 0.32996 40 9 1 0 0 0.57909 40 8 1 0 0 1 0 0 0.901251 40 8 138720 112192
280 -6768.46 0.00160032 40 8 0.337656 40 11 1 0 0 0.561591 40 13 1 0 0 1 0 0 0.947195 40 14 138720 112163
320 -6724.81 0.00171421 40 6 0.304089 40 12 1 0 0 0.608179 40 13 1 0 0 1 0 0 1.08885 40 12 138720 112220
360 -6771.22 0.00167295 40 5 0.319911 40 12 1 0 0 0.648313 40 16 1 0 0 1 0 0 0.897431 40 13 138720 112093
400 -6744.16 0.00207241 40 12 0.383983 40 11 1 0 0 0.496673 40 7 1 0 0 1 0 0 0.934877 40 7 138720 112396
440 -6787.93 0.00164317 40 7 0.319366 40 9 1 0 0 0.607626 40 7 1 0 0 1 0 0 0.945972 40 4 138720 112089
480 -6748.38 0.00152719 40 9 0.384906 40 14 1 0 0 0.566549 40 14 1 0 0 1 0 0 0.878883 40 11 138720 112463
520 -6732.08 0.00116408 40 8 0.362981 40 6 1 0 0 0.558279 40 12 1 0 0 1 0 0 0.904309 40 11 138720 111898
560 -6727.09 0.00147712 40 12 0.349899 40 18 1 0 0 0.54047 40 10 1 0 0 1 0 0 0.971606 40 12 138720 112245
600 -6781.25 0.00193135 40 11 0.331689 40 9 1 0 0 0.559034 40 7 1 0 0 1 0 0 1.01349 40 9 138720 111870
640 -6733.47 0.00165469 40 10 0.311375 40 15 1 0 0 0.527197 40 7 1 0 0 1 0 0 1.07067 40 10 138720 112184
680 -6734.22 0.000948609 40 12 0.320204 40 9 1 0 0 0.505856 40 8 1 0 0 1 0 0 1.141 40 8 138720 112067
720 -6779.46 0.00239631 40 11 0.346846 40 16 1 0 0 0.463661 40 12 1 0 0 1 0 0 1.02826 40 14 138720 112105
760 -6747.87 0.0019406 40 3 0.296862 40 7 1 0 0 0.618372 40 12 1 0 0 1 0 0 0.939259 40 7 138720 112456
800 -6744.26 0.00206822 40 7 0.367383 40 13 1 0 0 0.579468 40 8 1 0 0 1 0 0 0.964582 40 10 138720 112435
840 -6763.46 0.00161717 40 6 0.348461 40 11 1 0 0 0.542755 40 6 1 0 0 1 0 0 0.955441 40 13 138720 112064
880 -6752.84 0.00191813 40 9 0.341157 40 7 1 0 0 0.578554 40 8 1 0 0 1 0 0 0.930717 40 10 138720 112295
920 -6774.56 0.00226628 40 9 0.282551 40 11 1 0 0 0.648545 40 12 1 0 0 1 0 0 0.988282 40 7 138720 112669
960 -6773.32 0.00141689 40 8 0.298161 40 10 1 0 0 0.525966 40 9 1 0 0 1 0 0 1.11559 40 7 138720 112455
1000 -6734.14 0.00138093 40 12 0.328723 40 13 1 0 0 0.642079 40 10 1 0 0 1 0 0 0.920315 40 14 138720 112266
1040 -6794.39 0.00123126 40 13 0.315538 40 11 1 0 0 0.546749 40 10 1 0 0 1 0 0 1.0334 40 10 138720 112468
1080 -6742.99 0.00164006 40 10 0.356934 40 5 1 0 0 0.561822 40 11 1 0 0 1 0 0 0.961262 40 12 138720 112326
1120 -6758.49 0.0023073 40 10 0.364464 40 12 1 0 0 0.612717 40 13 1 0 0 1 0 0 0.804607 40 13 138720 112156
1160 -6774.67 0.00257748 40 7 0.286388 40 12 1 0 0 0.568699 40 9 1 0 0 1 0 0 1.10663 40 13 138720 112326
1200 -6720.68 0.000973414 40 4 0.345301 40 11 1 0 0 0.598193 40 14 1 0 0 1 0 0 0.937344 40 9 138720 112365
1240 -6762.41 0.00232907 40 8 0.33893 40 4 1 0 0 0.538608 40 8 1 0 0 1 0 0 0.958379 40 10 138720 112208
1280 -6735.8 0.00190498 40 6 0.379234 40 8 1 0 0 0.525981 40 9 1 0 0 1 0 0 0.875939 40 9 138720 112128
1320 -6766.01 0.00192834 40 11 0.321435 40 15 1 0 0 0.605377 40 9 1 0 0 1 0 0 0.971611 40 12 138720 111995
1360 -6774.24 0.00229682 40 10 0.389046 40 13 1 0 0 0.472307 40 10 1 0 0 1 0 0 0.901517 40 9 138720 112544
1400 -6787.13 0.00106096 40 7 0.358717 40 11 1 0 0 0.584125 40 8 1 0 0 1 0 0 1.02497 40 10 138720 111908
1440 -6756.28 0.00174287 40 16 0.321705 40 9 1 0 0 0.603179 40 8 1 0 0 1 0 0 1.02912 40 12 138720 112142
1480 -6756.4 0.00157276 40 11 0.341832 40 14 1 0 0 0.539648 40 13 1 0 0 1 0 0 1.00118 40 4 138720 111911
1520 -6734.58 0.00178853 40 13 0.386721 40 8 1 0 0 0.536663 40 10 1 0 0 1 0 0 0.807578 40 8 138720 112213
1560 -6759.05 0.00140479 40 9 0.343497 40 8 1 0 0 0.546807 40 8 1 0 0 1 0 0 0.95331 40 17 138720 112023
1600 -6756.57 0.0018856 40 13 0.350417 40 10 1 0 0 0.703637 40 11 1 0 0 1 0 0 0.815978 40 11 138720 112129
