iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -8885.12 0.000859058 0 0 0.805042 0 0 1 0 0 1.69591 0 0 1 0 0 1 0 0 0.68588 0 0 0 0
40 -7129.92 8.05088e-05 40 18 0.399014 40 17 1 0 0 0.514946 40 13 1 0 0 1 0 0 0.806029 40 12 68760 52248
80 -7142.26 0.000147887 40 26 0.350561 40 8 1 0 0 0.59117 40 7 1 0 0 1 0 0 0.851213 40 11 68760 52284
120 -7154.66 0.000515661 40 14 0.334607 40 6 1 0 0 0.587034 40 10 1 0 0 1 0 0 0.796392 40 10 68760 52634
160 -7149.12 0.000191328 40 27 0.378757 40 7 1 0 0 0.468385 40 8 1 0 0 1 0 0 0.886066 40 8 68760 52570
200 -7154.58 2.08517e-05 40 20 0.34115 40 5 1 0 0 0.596877 40 11 1 0 0 1 0 0 0.936145 40 6 68760 52413
240 -7092.93 0.000242906 40 25 0.328284 40 9 1 0 0 0.541503 40 11 1 0 0 1 0 0 1.02228 40 10 68760 52189
280 -7088.34 0.000232432 40 20 0.327883 40 14 1 0 0 0.538367 40 11 1 0 0 1 0 0 0.999752 40 10 68760 52369
320 -7106.75 0.000148572 40 20 0.384517 40 9 1 0 0 0.537543 40 13 1 0 0 1 0 0 0.917823 40 5 68760 52410
360 -7088.89 5.39663e-05 40 24 0.327623 40 9 1 0 0 0.623348 40 8 1 0 0 1 0 0 0.898027 40 9 68760 52402
400 -7155.85 5.19687e-05 40 28 0.338281 40 8 1 0 0 0.490368 40 15 1 0 0 1 0 0 1.05257 40 17 68760 52258
440 -7083.46 0.000408025 40 25 0.295874 40 10 1 0 0 0.580145 40 17 1 0 0 1 0 0 1.02394 40 8 68760 52930
480 -7132.3 0.000175537 40 21 0.339762 40 12 1 0 0 0.595105 40 8 1 0 0 1 0 0 0.907841 40 12 68760 52376
520 -7044.85 0.000263787 40 20 0.359452 40 6 1 0 0 0.490022 40 8 1 0 0 1 0 0 0.932591 40 10 68760 52438
560 -7131.46 0.000648241 40 18 0.374167 40 7 1 0 0 0.552725 40 11 1 0 0 1 0 0 0.875545 40 13 68760 52963
600 -7065.76 1.68249e-05 40 24 0.367063 40 12 1 0 0 0.51093 40 9 1 0 0 1 0 0 0.955707 40 9 68760 52501
640 -7139.74 0.000272583 40 21 0.352491 40 13 1 0 0 0.471342 40 7 1 0 0 1 0 0 0.930571 40 9 68760 52221
680 -7112.76 0.000475299 40 28 0.410502 40 6 1 0 0 0.585158 40 9 1 0 0 1 0 0 0.756662 40 8 68760 52380
720 -7168.64 9.24192e-05 40 19 0.386278 40 8 1 0 0 0.536647 40 5 1 0 0 1 0 0 0.828237 40 8 68760 52566
760 -7117.77 0.000234276 40 26 0.30765 40 13 1 0 0 0.524387 40 6 1 0 0 1 0 0 1.09622 40 9 68760 52361
800 -7064.5 0.000158788 40 21 0.316312 40 11 1 0 0 0.632432 40 9 1 0 0 1 0 0 0.948928 40 9 68760 52649
840 -7172.72 6.27771e-05 40 20 0.379971 40 15 1 0 0 0.454097 40 11 1 0 0 1 0 0 0.888854 40 14 68760 52473
880 -7133.53 0.000157533 40 27 0.37251 40 6 1 0 0 0.537638 40 8 1 0 0 1 0 0 0.832966 40 8 68760 52436
920 -7071.09 0.000104119 40 24 0.344435 40 9 1 0 0 0.536497 40 8 1 0 0 1 0 0 0.957909 40 8 68760 52327
960 -7149.11 6.26639e-05 40 24 0.364602 40 12 1 0 0 0.47393 40 10 1 0 0 1 0 0 0.867274 40 6 68760 52563
1000 -7139.9 0.000607082 40 22 0.342528 40 7 1 0 0 0.45076 40 4 1 0 0 1 0 0 1.00212 40 9 68760 52709
1040 -7132.87 6.35126e-05 40 21 0.305599 40 11 1 0 0 0.627895 40 10 1 0 0 1 0 0 0.881813 40 12 68760 52432
1080 -7128.73 0.000216137 40 29 0.385852 40 12 1 0 0 0.473996 40 6 1 0 0 1 0 0 0.979536 40 7 68760 52305
1120 -7089.13 0.000107673 40 25 0.347808 40 9 1 0 0 0.562882 40 12 1 0 0 1 0 0 0.979805 40 10 68760 52319
1160 -7110.06 0.000117554 40 30 0.382329 40 6 1 0 0 0.575922 40 10 1 0 0 1 0 0 0.809271 40 6 68760 52125
1200 -7188.01 0.000587477 40 19 0.331413 40 7 1 0 0 0.505606 40 7 1 0 0 1 0 0 1.05443 40 10 68760 52399
1240 -7064.12 0.000205709 40 33 0.356369 40 9 1 0 0 0.454321 40 9 1 0 0 1 0 0 0.913593 40 7 68760 52242
1280 -7077.48 1.31319e-05 40 29 0.385385 40 9 1 0 0 0.49182 40 10 1 0 0 1 0 0 0.853999 40 9 68760 52495
