iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -24974.7 0.0032932 0 0 4.7509 0 0 1 0 0 1.09342 0 0 1 0 0 1 0 0 1.523 0 0 0 0
40 -7216.47 0.00010119 40 23 0.431713 40 16 1 0 0 0.445359 40 13 1 0 0 1 0 0 0.852664 40 14 70080 49466
80 -7289.28 6.47916e-05 40 24 0.303614 40 10 1 0 0 0.537486 40 11 1 0 0 1 0 0 1.27032 40 10 70080 52216
120 -7305.17 0.000177461 40 27 0.329232 40 5 1 0 0 0.535893 40 6 1 0 0 1 0 0 1.1761 40 12 70080 52774
160 -7290.59 0.000163521 40 23 0.297043 40 10 1 0 0 0.553971 40 8 1 0 0 1 0 0 1.28495 40 7 70080 52536
200 -7251.94 0.00063743 40 20 0.356047 40 10 1 0 0 0.51561 40 9 1 0 0 1 0 0 1.06287 40 10 70080 52381
240 -7293.32 0.000153647 40 22 0.288127 40 12 1 0 0 0.580926 40 11 1 0 0 1 0 0 1.24337 40 11 70080 52519
280 -7270.03 0.000133411 40 21 0.305691 40 7 1 0 0 0.599046 40 8 1 0 0 1 0 0 1.17291 40 3 70080 52673
320 -7167.2 0.000188426 40 25 0.358164 40 5 1 0 0 0.467956 40 9 1 0 0 1 0 0 1.08153 40 15 70080 52728
360 -7258.63 4.09669e-05 40 28 0.372586 40 10 1 0 0 0.466252 40 7 1 0 0 1 0 0 1.01528 40 6 70080 52569
400 -7283.46 0.000262067 40 25 0.359893 40 11 1 0 0 0.507085 40 12 1 0 0 1 0 0 1.08601 40 6 70080 52518
440 -7346.46 0.000325467 40 23 0.326832 40 3 1 0 0 0.449009 40 10 1 0 0 1 0 0 1.21775 40 9 70080 52735
480 -7310.43 0.000261955 40 21 0.328795 40 13 1 0 0 0.51636 40 7 1 0 0 1 0 0 1.20251 40 13 70080 52793
520 -7330.32 0.00024374 40 21 0.347752 40 8 1 0 0 0.465525 40 10 1 0 0 1 0 0 1.06105 40 13 70080 52700
560 -7281.61 0.000140224 40 36 0.32956 40 6 1 0 0 0.528866 40 7 1 0 0 1 0 0 1.14065 40 10 70080 52452
600 -7324.44 0.000222162 40 25 0.276828 40 11 1 0 0 0.526651 40 8 1 0 0 1 0 0 1.43415 40 9 70080 52774
640 -7316.27 0.000454986 40 25 0.317018 40 9 1 0 0 0.514198 40 9 1 0 0 1 0 0 1.23791 40 6 70080 52626
680 -7267.49 0.000442272 40 22 0.302762 40 12 1 0 0 0.520003 40 10 1 0 0 1 0 0 1.19094 40 8 70080 52895
720 -7263.22 0.000416559 40 26 0.271514 40 10 1 0 0 0.5291 40 8 1 0 0 1 0 0 1.25477 40 3 70080 52648
760 -7259.99 0.00027448 40 21 0.31988 40 5 1 0 0 0.571474 40 10 1 0 0 1 0 0 1.0457 40 7 70080 52814
800 -7241.35 0.000219287 40 21 0.368259 40 11 1 0 0 0.524658 40 12 1 0 0 1 0 0 1.05888 40 4 70080 52885
840 -7303.43 0.000201177 40 20 0.310242 40 5 1 0 0 0.524224 40 9 1 0 0 1 0 0 1.23239 40 9 70080 52923
880 -7309.03 0.000205571 40 25 0.327722 40 6 1 0 0 0.525626 40 2 1 0 0 1 0 0 1.18828 40 7 70080 52363
920 -7261.65 0.000493275 40 22 0.302605 40 5 1 0 0 0.590788 40 7 1 0 0 1 0 0 1.19861 40 10 70080 52705
960 -7277.61 5.54858e-05 40 21 0.306663 40 7 1 0 0 0.656292 40 9 1 0 0 1 0 0 1.13759 40 13 70080 52690
1000 -7263.36 9.36281e-07 40 30 0.293872 40 9 1 0 0 0.566031 40 8 1 0 0 1 0 0 1.15996 40 12 70080 52724
1040 -7242.5 4.035e-05 40 26 0.355818 40 15 1 0 0 0.490045 40 6 1 0 0 1 0 0 1.09051 40 7 70080 52301
1080 -7311.98 0.00029993 40 25 0.356887 40 8 1 0 0 0.492426 40 7 1 0 0 1 0 0 1.03146 40 9 70080 52693
1120 -7276.47 0.000114719 40 29 0.345887 40 8 1 0 0 0.462783 40 9 1 0 0 1 0 0 1.1814 40 6 70080 52469
1160 -7254.17 0.000160363 40 28 0.415908 40 6 1 0 0 0.508207 40 8 1 0 0 1 0 0 0.888873 40 10 70080 52614
1200 -7292.79 0.000198247 40 26 0.329438 40 11 1 0 0 0.544378 40 7 1 0 0 1 0 0 1.07601 40 10 70080 52504
1240 -7300.04 0.000114189 40 26 0.322355 40 11 1 0 0 0.60368 40 15 1 0 0 1 0 0 1.10227 40 8 70080 52686
1280 -7273.16 9.59023e-05 40 26 0.331312 40 4 1 0 0 0.54127 40 7 1 0 0 1 0 0 1.0861 40 6 70080 52741
1320 -7320.72 7.77235e-05 40 18 0.353424 40 8 1 0 0 0.531634 40 10 1 0 0 1 0 0 1.13472 40 11 70080 52463
1360 -7268.88 0.000501557 40 16 0.355954 40 9 1 0 0 0.469648 40 13 1 0 0 1 0 0 1.08339 40 10 70080 52975
1400 -7275.81 0.000482 40 17 0.331993 40 12 1 0 0 0.511502 40 6 1 0 0 1 0 0 1.18187 40 10 70080 53066
1440 -7287.17 0.000175676 40 19 0.248118 40 7 1 0 0 0.585796 40 8 1 0 0 1 0 0 1.49215 40 10 70080 52790
1480 -7278.51 0.000643155 40 20 0.341226 40 10 1 0 0 0.486 40 11 1 0 0 1 0 0 1.13257 40 11 70080 52880
1520 -7323.49 0.000492256 40 19 0.330786 40 8 1 0 0 0.457344 40 14 1 0 0 1 0 0 1.12345 40 9 70080 53233
1560 -7317.73 0.000127268 40 19 0.321184 40 8 1 0 0 0.515184 40 11 1 0 0 1 0 0 1.31068 40 7 70080 52987
1600 -7297.03 0.000102146 40 23 0.347345 40 12 1 0 0 0.527531 40 11 1 0 0 1 0 0 0.994455 40 14 70080 52511
1640 -7385.24 0.00039707 40 27 0.333923 40 10 1 0 0 0.571987 40 14 1 0 0 1 0 0 1.03646 40 3 70080 53023
1680 -7210 0.000686977 40 17 0.31855 40 13 1 0 0 0.606588 40 6 1 0 0 1 0 0 1.13846 40 9 70080 52771
1720 -7310.05 7.9291e-05 40 27 0.312289 40 10 1 0 0 0.592674 40 8 1 0 0 1 0 0 1.14962 40 8 70080 52514
1760 -7243.96 0.000189476 40 23 0.315424 40 10 1 0 0 0.51722 40 11 1 0 0 1 0 0 1.20024 40 5 70080 52727
1800 -7256.28 0.000313111 40 27 0.313731 40 11 1 0 0 0.554119 40 8 1 0 0 1 0 0 1.17782 40 10 70080 52486
