iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -10690.9 0.000438333 0 0 5.50054 0 0 1 0 0 0.0725578 0 0 1 0 0 1 0 0 0.395776 0 0 0 0
40 -6934.18 0.00155065 40 11 0.403912 40 22 1 0 0 0.596561 40 13 1 0 0 1 0 0 0.804979 40 19 141600 113790
80 -6939.9 0.00150414 40 8 0.425114 40 9 1 0 0 0.478197 40 12 1 0 0 1 0 0 0.862422 40 12 141600 114569
120 -6945.87 0.00168852 40 9 0.358816 40 8 1 0 0 0.55056 40 7 1 0 0 1 0 0 0.980099 40 8 141600 114653
160 -6967.46 0.00213693 40 13 0.321292 40 11 1 0 0 0.536991 40 8 1 0 0 1 0 0 1.10033 40 14 141600 114266
200 -6988.99 0.00142027 40 11 0.314819 40 9 1 0 0 0.549628 40 6 1 0 0 1 0 0 1.15499 40 10 141600 114531
240 -6953.48 0.00112466 40 12 0.335521 40 10 1 0 0 0.500098 40 11 1 0 0 1 0 0 1.17284 40 14 141600 114465
280 -6960.07 0.00151174 40 10 0.363749 40 7 1 0 0 0.491724 40 13 1 0 0 1 0 0 1.01297 40 7 141600 114334
320 -6962.46 0.00225387 40 13 0.371315 40 9 1 0 0 0.491146 40 12 1 0 0 1 0 0 0.913691 40 10 141600 114954
360 -6960.54 0.00218707 40 8 0.360133 40 12 1 0 0 0.502317 40 9 1 0 0 1 0 0 1.04677 40 8 141600 114406
400 -6961.41 0.00144897 40 8 0.347468 40 10 1 0 0 0.490441 40 4 1 0 0 1 0 0 1.04413 40 7 141600 114371
440 -6954.99 0.00238841 40 11 0.40468 40 11 1 0 0 0.431603 40 7 1 0 0 1 0 0 0.983402 40 6 141600 114419
480 -6938.1 0.0014169 40 10 0.373661 40 10 1 0 0 0.439017 40 13 1 0 0 1 0 0 1.09315 40 6 141600 114646
520 -6957.66 0.00161735 40 10 0.319516 40 12 1 0 0 0.529443 40 11 1 0 0 1 0 0 1.05374 40 11 141600 114351
560 -6965.39 0.00186926 40 12 0.33961 40 8 1 0 0 0.489272 40 7 1 0 0 1 0 0 1.07424 40 13 141600 114485
600 -6947.07 0.00142359 40 10 0.356442 40 8 1 0 0 0.486568 40 7 1 0 0 1 0 0 0.968353 40 13 141600 114581
640 -6941.49 0.00164291 40 9 0.356669 40 10 1 0 0 0.554369 40 12 1 0 0 1 0 0 0.969627 40 12 141600 114258
680 -6976.48 0.00118831 40 10 0.366809 40 12 1 0 0 0.544185 40 7 1 0 0 1 0 0 0.985405 40 6 141600 114322
720 -6983.73 0.00224704 40 13 0.4275 40 5 1 0 0 0.478372 40 8 1 0 0 1 0 0 0.836298 40 9 141600 114311
760 -6976.75 0.00254887 40 7 0.381375 40 14 1 0 0 0.475171 40 9 1 0 0 1 0 0 0.91883 40 11 141600 114836
800 -6937.71 0.00151386 40 12 0.386674 40 7 1 0 0 0.450172 40 12 1 0 0 1 0 0 1.01287 40 6 141600 114166
840 -6981.17 0.0021546 40 9 0.341846 40 11 1 0 0 0.510584 40 7 1 0 0 1 0 0 1.14726 40 14 141600 114297
880 -6958.43 0.00160412 40 4 0.366843 40 13 1 0 0 0.441716 40 11 1 0 0 1 0 0 1.10588 40 6 141600 114294
920 -6965.58 0.00172889 40 10 0.320827 40 13 1 0 0 0.465496 40 11 1 0 0 1 0 0 1.11231 40 5 141600 114609
960 -6940.64 0.00143135 40 12 0.327689 40 6 1 0 0 0.528964 40 11 1 0 0 1 0 0 1.05851 40 5 141600 114517
1000 -6985.2 0.00233366 40 9 0.431363 40 13 1 0 0 0.433376 40 11 1 0 0 1 0 0 0.89767 40 7 141600 114394
1040 -6958.24 0.00202577 40 8 0.353525 40 11 1 0 0 0.522758 40 20 1 0 0 1 0 0 1.03596 40 15 141600 114500
1080 -6928.12 0.00112616 40 8 0.404538 40 7 1 0 0 0.518054 40 6 1 0 0 1 0 0 0.974347 40 7 141600 114369
1120 -6974.46 0.00136555 40 12 0.382532 40 9 1 0 0 0.537021 40 6 1 0 0 1 0 0 0.928799 40 10 141600 114309
1160 -6942.09 0.00205222 40 7 0.303328 40 12 1 0 0 0.493822 40 9 1 0 0 1 0 0 1.31079 40 11 141600 114246
1200 -6939.52 0.00198038 40 8 0.287573 40 9 1 0 0 0.497976 40 3 1 0 0 1 0 0 1.32668 40 15 141600 114715
1240 -6980.63 0.00189398 40 6 0.347283 40 7 1 0 0 0.477003 40 8 1 0 0 1 0 0 1.00276 40 10 141600 114566
1280 -6927.83 0.00103962 40 11 0.397633 40 8 1 0 0 0.450166 40 3 1 0 0 1 0 0 1.00868 40 11 141600 114510
1320 -6977.21 0.00193855 40 11 0.344263 40 16 1 0 0 0.522641 40 11 1 0 0 1 0 0 1.08467 40 10 141600 114582
1360 -6988.18 0.00161809 40 11 0.35847 40 7 1 0 0 0.502542 40 4 1 0 0 1 0 0 1.00269 40 9 141600 114567
1400 -6956.99 0.00212695 40 6 0.336655 40 6 1 0 0 0.444519 40 6 1 0 0 1 0 0 1.14683 40 7 141600 114390
1440 -6952.77 0.00131758 40 7 0.350826 40 9 1 0 0 0.555146 40 12 1 0 0 1 0 0 1.11133 40 12 141600 114656
1480 -6963.5 0.0016987 40 8 0.349782 40 9 1 0 0 0.464125 40 9 1 0 0 1 0 0 1.09616 40 6 141600 114852
1520 -6933.07 0.00195927 40 13 0.371468 40 4 1 0 0 0.514684 40 8 1 0 0 1 0 0 0.943145 40 7 141600 114392
1560 -6969.96 0.00263161 40 6 0.380822 40 8 1 0 0 0.456579 40 10 1 0 0 1 0 0 0.939219 40 8 141600 114488
1600 -6984.67 0.00201715 40 9 0.374193 40 11 1 0 0 0.529455 40 8 1 0 0 1 0 0 1.02045 40 8 141600 114478
1640 -6971.87 0.00178778 40 8 0.336846 40 3 1 0 0 0.499268 40 12 1 0 0 1 0 0 1.11284 40 11 141600 114480
1680 -6953.85 0.00102839 40 6 0.379053 40 12 1 0 0 0.521205 40 7 1 0 0 1 0 0 1.04844 40 8 141600 114600
1720 -6958.05 0.00174264 40 7 0.342807 40 12 1 0 0 0.566792 40 7 1 0 0 1 0 0 1.09046 40 12 141600 114541
1760 -6959.05 0.00184246 40 9 0.406217 40 10 1 0 0 0.475701 40 11 1 0 0 1 0 0 0.922815 40 12 141600 114683
1800 -6936.04 0.0010483 40 6 0.362442 40 5 1 0 0 0.469109 40 5 1 0 0 1 0 0 1.10925 40 13 141600 114681
1840 -6969.93 0.00203969 40 11 0.336243 40 11 1 0 0 0.513195 40 10 1 0 0 1 0 0 1.05647 40 7 141600 114317
1880 -6981.05 0.0020742 40 9 0.431935 40 14 1 0 0 0.457769 40 6 1 0 0 1 0 0 0.811611 40 10 141600 114811
1920 -6999.87 0.00220702 40 8 0.338371 40 14 1 0 0 0.49392 40 11 1 0 0 1 0 0 1.0422 40 9 141600 114361
