iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -35471.9 0.00146942 0 0 8.31872 0 0 1 0 0 0.930678 0 0 1 0 0 1 0 0 1.55007 0 0 0 0
40 -7470.1 0.000981671 40 22 0.519339 40 17 1 0 0 0.394232 40 17 1 0 0 1 0 0 0.731717 40 19 69640 47669
80 -7177.3 0.000411946 40 26 0.172431 40 15 1 0 0 1.80352 40 14 1 0 0 1 0 0 1.16579 40 12 69640 51881
120 -7163.49 0.000322959 40 20 0.134559 40 12 1 0 0 2.44068 40 10 1 0 0 1 0 0 1.35154 40 9 69640 51534
160 -7222.61 0.00026495 40 24 0.126959 40 12 1 0 0 1.91826 40 11 1 0 0 1 0 0 1.76168 40 12 69640 51208
200 -7177.05 0.000213518 40 23 0.124233 40 8 1 0 0 2.47493 40 14 1 0 0 1 0 0 1.56316 40 8 69640 51535
240 -7138.06 0.00039252 40 28 0.112648 40 6 1 0 0 2.42906 40 14 1 0 0 1 0 0 1.72129 40 5 69640 51188
280 -7186.32 3.37316e-05 40 15 0.103821 40 12 1 0 0 2.28416 40 14 1 0 0 1 0 0 1.84334 40 6 69640 51706
320 -7129.38 0.000326474 40 23 0.115341 40 11 1 0 0 2.42065 40 10 1 0 0 1 0 0 1.58984 40 9 69640 51633
360 -7187.77 0.000483469 40 21 0.116934 40 9 1 0 0 1.95184 40 10 1 0 0 1 0 0 1.93259 40 8 69640 51746
400 -7232.63 8.32742e-05 40 20 0.125542 40 11 1 0 0 2.36978 40 13 1 0 0 1 0 0 1.51914 40 9 69640 51544
440 -7235.33 0.000208297 40 14 0.120814 40 8 1 0 0 2.03042 40 7 1 0 0 1 0 0 1.80903 40 9 69640 51503
480 -7177.96 8.10838e-05 40 22 0.121399 40 7 1 0 0 2.15532 40 10 1 0 0 1 0 0 1.72782 40 9 69640 51473
520 -7226.16 0.000413584 40 18 0.118528 40 8 1 0 0 2.60339 40 8 1 0 0 1 0 0 1.40592 40 7 69640 51732
560 -7224.19 0.000512363 40 15 0.113116 40 10 1 0 0 2.60283 40 8 1 0 0 1 0 0 1.40273 40 6 69640 51665
600 -7258.39 0.000341908 40 14 0.126269 40 8 1 0 0 1.81224 40 12 1 0 0 1 0 0 1.7818 40 8 69640 51992
640 -7217.99 0.000163869 40 14 0.129166 40 13 1 0 0 2.45945 40 10 1 0 0 1 0 0 1.37094 40 12 69640 51829
680 -7209.5 0.000661247 40 13 0.10459 40 8 1 0 0 2.53313 40 8 1 0 0 1 0 0 1.73235 40 7 69640 51807
