iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -29674.2 0.00240046 0 0 5.51902 0 0 1 0 0 2.60901 0 0 1 0 0 1 0 0 0.839784 0 0 0 0
40 -6558.28 0.00164896 40 21 0.162276 40 19 1 0 0 2.45643 40 20 1 0 0 1 0 0 0.951819 40 24 136000 107036
80 -6538.74 0.00166838 40 7 0.109045 40 12 1 0 0 2.1338 40 10 1 0 0 1 0 0 1.80131 40 13 136000 110306
120 -6558.38 0.00248708 40 11 0.083187 40 10 1 0 0 2.57263 40 14 1 0 0 1 0 0 1.87262 40 12 136000 110051
160 -6557.87 0.00244399 40 9 0.0730237 40 10 1 0 0 2.76999 40 12 1 0 0 1 0 0 2.12853 40 10 136000 110103
200 -6563.88 0.00252461 40 7 0.0541299 40 5 1 0 0 3.24555 40 10 1 0 0 1 0 0 2.62905 40 12 136000 110434
240 -6574.65 0.00136043 40 10 0.0940589 40 8 1 0 0 2.54358 40 10 1 0 0 1 0 0 1.8435 40 6 136000 109833
280 -6577.89 0.00223657 40 9 0.092768 40 11 1 0 0 2.75406 40 13 1 0 0 1 0 0 1.66117 40 12 136000 110129
320 -6537.82 0.00211419 40 4 0.0901022 40 10 1 0 0 3.04765 40 12 1 0 0 1 0 0 1.55007 40 11 136000 109983
360 -6562.33 0.00257616 40 13 0.0731588 40 16 1 0 0 2.39987 40 13 1 0 0 1 0 0 2.23357 40 12 136000 110108
400 -6524.78 0.00223889 40 5 0.0797094 40 12 1 0 0 2.95974 40 12 1 0 0 1 0 0 1.98615 40 6 136000 110277
440 -6533.49 0.00235184 40 5 0.0823354 40 10 1 0 0 2.87678 40 8 1 0 0 1 0 0 1.90682 40 12 136000 110543
480 -6519.65 0.00234439 40 7 0.0705234 40 12 1 0 0 2.75411 40 8 1 0 0 1 0 0 2.05214 40 11 136000 110113
520 -6546.98 0.0023586 40 8 0.0805965 40 16 1 0 0 2.53335 40 11 1 0 0 1 0 0 1.95625 40 10 136000 110128
560 -6544.76 0.00210822 40 7 0.0890031 40 14 1 0 0 2.62415 40 16 1 0 0 1 0 0 1.8256 40 10 136000 110228
600 -6525.56 0.00180056 40 11 0.0693803 40 12 1 0 0 2.72768 40 12 1 0 0 1 0 0 2.23128 40 12 136000 109743
640 -6585.17 0.00216277 40 9 0.0885183 40 12 1 0 0 2.46951 40 16 1 0 0 1 0 0 1.97539 40 13 136000 110225
680 -6606.32 0.00208902 40 7 0.0853643 40 8 1 0 0 3.03152 40 9 1 0 0 1 0 0 1.54855 40 10 136000 110369
720 -6541.94 0.00161972 40 9 0.0841151 40 5 1 0 0 2.66898 40 11 1 0 0 1 0 0 1.85318 40 14 136000 110028
760 -6568.54 0.00210167 40 6 0.0838291 40 10 1 0 0 2.69961 40 7 1 0 0 1 0 0 1.73759 40 14 136000 109855
800 -6550.39 0.00275178 40 7 0.0750605 40 10 1 0 0 3.1401 40 12 1 0 0 1 0 0 1.66445 40 14 136000 110469
840 -6523.94 0.00205245 40 4 0.0674035 40 15 1 0 0 3.35474 40 9 1 0 0 1 0 0 2.061 40 9 136000 109880
880 -6565.31 0.00258643 40 4 0.0674064 40 8 1 0 0 3.11613 40 8 1 0 0 1 0 0 1.96524 40 14 136000 110253
920 -6548.09 0.00244559 40 8 0.0797432 40 13 1 0 0 2.44984 40 9 1 0 0 1 0 0 2.19761 40 9 136000 110318
960 -6558.18 0.001835 40 9 0.0934808 40 10 1 0 0 2.44651 40 12 1 0 0 1 0 0 1.86711 40 15 136000 110092
1000 -6519.36 0.00214483 40 4 0.0806299 40 12 1 0 0 2.73585 40 8 1 0 0 1 0 0 1.97714 40 9 136000 109928
1040 -6558.55 0.00320791 40 6 0.0800755 40 7 1 0 0 2.7652 40 10 1 0 0 1 0 0 1.80124 40 7 136000 110015
1080 -6517.62 0.00207301 40 10 0.0875255 40 10 1 0 0 2.51543 40 12 1 0 0 1 0 0 1.90227 40 8 136000 109966
1120 -6533.2 0.00177317 40 9 0.0800152 40 10 1 0 0 2.94413 40 10 1 0 0 1 0 0 1.83303 40 7 136000 110014
1160 -6556.2 0.00202774 40 7 0.0888362 40 8 1 0 0 2.51741 40 12 1 0 0 1 0 0 1.97936 40 8 136000 110007
1200 -6506.26 0.00181686 40 13 0.0831457 40 10 1 0 0 3.15655 40 11 1 0 0 1 0 0 1.68539 40 15 136000 110277
1240 -6544.97 0.00261781 40 8 0.0853738 40 7 1 0 0 2.63286 40 11 1 0 0 1 0 0 1.77263 40 8 136000 109940
1280 -6528.72 0.00170401 40 11 0.0782582 40 8 1 0 0 2.94409 40 8 1 0 0 1 0 0 1.90679 40 10 136000 110131
1320 -6570.83 0.00174852 40 9 0.0937628 40 12 1 0 0 2.54423 40 12 1 0 0 1 0 0 1.77251 40 9 136000 110113
1360 -6554.36 0.00165771 40 8 0.0904622 40 8 1 0 0 2.64252 40 18 1 0 0 1 0 0 1.85137 40 14 136000 110020
1400 -6588.3 0.00220093 40 4 0.0824841 40 15 1 0 0 2.55881 40 10 1 0 0 1 0 0 1.88633 40 16 136000 110483
1440 -6560.78 0.00245801 40 7 0.0905309 40 11 1 0 0 2.29029 40 6 1 0 0 1 0 0 1.95315 40 13 136000 110133
1480 -6512.36 0.00216725 40 9 0.0771231 40 11 1 0 0 2.70054 40 13 1 0 0 1 0 0 2.09328 40 13 136000 110088
1520 -6536.03 0.00285249 40 5 0.0681197 40 7 1 0 0 2.95384 40 6 1 0 0 1 0 0 2.31736 40 7 136000 110503
1560 -6554.54 0.00250792 40 7 0.0681283 40 7 1 0 0 3.57268 40 11 1 0 0 1 0 0 1.87942 40 16 136000 110481
1600 -6545.17 0.00166315 40 5 0.0909799 40 8 1 0 0 2.73848 40 13 1 0 0 1 0 0 1.67442 40 10 136000 110229
1640 -6514.61 0.00205602 40 4 0.0917553 40 12 1 0 0 2.75489 40 9 1 0 0 1 0 0 1.68548 40 14 136000 109876
1680 -6569.2 0.00148869 40 8 0.100237 40 11 1 0 0 2.70501 40 12 1 0 0 1 0 0 1.67131 40 13 136000 110312
1720 -6555.56 0.00172806 40 9 0.0990205 40 10 1 0 0 2.49491 40 9 1 0 0 1 0 0 1.64649 40 13 136000 109917
1760 -6542.57 0.00191232 40 10 0.0977909 40 9 1 0 0 2.56551 40 8 1 0 0 1 0 0 1.66487 40 12 136000 110238
1800 -6542.67 0.00172074 40 6 0.0909607 40 15 1 0 0 2.39043 40 9 1 0 0 1 0 0 1.7353 40 7 136000 110340
1840 -6571.82 0.00205756 40 12 0.0775698 40 12 1 0 0 2.67708 40 15 1 0 0 1 0 0 1.95349 40 8 136000 110244
1880 -6567.08 0.00279959 40 8 0.0836353 40 10 1 0 0 2.78658 40 10 1 0 0 1 0 0 1.80828 40 13 136000 110098
1920 -6547.57 0.00252818 40 5 0.0873318 40 10 1 0 0 3.09329 40 7 1 0 0 1 0 0 1.5696 40 8 136000 110064
1960 -6564.99 0.00198701 40 8 0.0749716 40 10 1 0 0 3.22192 40 9 1 0 0 1 0 0 1.79769 40 9 136000 110405
2000 -6582.46 0.00266307 40 8 0.0690492 40 15 1 0 0 2.86569 40 11 1 0 0 1 0 0 2.00018 40 14 136000 110363
2040 -6540.8 0.00191029 40 8 0.0855784 40 10 1 0 0 2.4586 40 8 1 0 0 1 0 0 2.09073 40 4 136000 109977
2080 -6540.24 0.00234073 40 5 0.086373 40 10 1 0 0 2.76711 40 12 1 0 0 1 0 0 1.85699 40 8 136000 109882
2120 -6592.76 0.00282451 40 7 0.0784296 40 9 1 0 0 3.19794 40 12 1 0 0 1 0 0 1.721 40 12 136000 109938
2160 -6538.63 0.00178016 40 8 0.0844234 40 11 1 0 0 2.94973 40 5 1 0 0 1 0 0 1.65437 40 10 136000 110277
2200 -6566.04 0.00222609 40 13 0.0769361 40 11 1 0 0 3.50037 40 9 1 0 0 1 0 0 1.54505 40 13 136000 110042
2240 -6519.32 0.00196753 40 10 0.0828831 40 3 1 0 0 2.76015 40 16 1 0 0 1 0 0 1.73908 40 7 136000 110153
2280 -6552.95 0.0024142 40 7 0.0740323 40 12 1 0 0 2.99289 40 11 1 0 0 1 0 0 1.95024 40 3 136000 110469
2320 -6542.78 0.00167588 40 4 0.0787571 40 6 1 0 0 3.04123 40 12 1 0 0 1 0 0 1.92624 40 15 136000 110410
2360 -6558.63 0.00228056 40 9 0.0738271 40 16 1 0 0 3.25079 40 10 1 0 0 1 0 0 1.89908 40 12 136000 110378
2400 -6556.85 0.0024749 40 4 0.0748775 40 7 1 0 0 2.99987 40 15 1 0 0 1 0 0 1.90366 40 7 136000 110370
2440 -6532.26 0.00192104 40 8 0.0868859 40 15 1 0 0 2.62569 40 10 1 0 0 1 0 0 1.75524 40 8 136000 110178
2480 -6568.84 0.00167979 40 8 0.0678651 40 11 1 0 0 2.76458 40 16 1 0 0 1 0 0 2.56562 40 10 136000 110561
2520 -6583.12 0.00234987 40 8 0.0857721 40 16 1 0 0 2.59128 40 10 1 0 0 1 0 0 1.79766 40 14 136000 109873
2560 -6563.46 0.00240465 40 5 0.089897 40 10 1 0 0 2.59773 40 12 1 0 0 1 0 0 1.82421 40 11 136000 110352
2600 -6522.77 0.00272071 40 9 0.0807347 40 13 1 0 0 2.87598 40 9 1 0 0 1 0 0 1.72015 40 13 136000 110262
2640 -6526.05 0.00145249 40 4 0.0813206 40 7 1 0 0 2.7473 40 12 1 0 0 1 0 0 2.04287 40 18 136000 110354
2680 -6550.37 0.00261076 40 6 0.0724621 40 13 1 0 0 3.06233 40 13 1 0 0 1 0 0 1.77572 40 13 136000 110233
2720 -6516.67 0.00192769 40 13 0.0944918 40 14 1 0 0 2.80262 40 14 1 0 0 1 0 0 1.61588 40 7 136000 110349
2760 -6563.4 0.00253803 40 4 0.094377 40 21 1 0 0 2.49223 40 10 1 0 0 1 0 0 1.82458 40 8 136000 110147
2800 -6528.55 0.00217565 40 8 0.0744983 40 11 1 0 0 2.69354 40 12 1 0 0 1 0 0 2.00606 40 10 136000 109979
2840 -6558.04 0.00274213 40 12 0.0707989 40 11 1 0 0 2.74316 40 6 1 0 0 1 0 0 2.17843 40 10 136000 110132
2880 -6559.77 0.00224485 40 9 0.0731177 40 6 1 0 0 3.26611 40 14 1 0 0 1 0 0 1.94802 40 14 136000 110203
