iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -19065.5 0.00108649 0 0 5.23224 0 0 1 0 0 0.521745 0 0 1 0 0 1 0 0 1.37355 0 0 0 0
40 -6409.72 0.000872088 40 23 0.231115 40 22 1 0 0 2.01829 40 21 1 0 0 1 0 0 0.799844 40 18 134960 106448
80 -6362.47 0.000749715 40 17 0.122375 40 10 1 0 0 2.87429 40 14 1 0 0 1 0 0 1.22127 40 5 134960 108174
120 -6392.14 0.000523974 40 12 0.110213 40 11 1 0 0 2.61823 40 9 1 0 0 1 0 0 1.55343 40 14 134960 108292
160 -6369.49 0.00100123 40 11 0.106449 40 10 1 0 0 2.69114 40 12 1 0 0 1 0 0 1.46514 40 7 134960 108459
200 -6384.21 0.00148443 40 11 0.104847 40 10 1 0 0 2.77225 40 6 1 0 0 1 0 0 1.40484 40 6 134960 108629
240 -6419.82 0.000770008 40 12 0.104793 40 10 1 0 0 2.67501 40 8 1 0 0 1 0 0 1.54791 40 11 134960 108610
280 -6413.01 0.000950404 40 14 0.123582 40 11 1 0 0 2.56039 40 18 1 0 0 1 0 0 1.3189 40 8 134960 108453
320 -6375.95 0.000910176 40 18 0.105492 40 10 1 0 0 2.91431 40 12 1 0 0 1 0 0 1.50808 40 13 134960 108608
360 -6407.06 0.00137211 40 11 0.0993016 40 10 1 0 0 2.97211 40 15 1 0 0 1 0 0 1.4364 40 10 134960 108491
400 -6399.24 0.000723377 40 12 0.107736 40 11 1 0 0 2.66762 40 10 1 0 0 1 0 0 1.49649 40 10 134960 108580
440 -6387.91 0.000635935 40 18 0.102078 40 8 1 0 0 2.93138 40 11 1 0 0 1 0 0 1.4858 40 14 134960 108521
480 -6365.07 0.00183822 40 9 0.0870074 40 9 1 0 0 2.8555 40 8 1 0 0 1 0 0 1.5335 40 11 134960 108472
520 -6400.8 0.000758435 40 15 0.0918455 40 12 1 0 0 2.79418 40 10 1 0 0 1 0 0 1.73871 40 11 134960 108354
560 -6391.98 0.00124383 40 11 0.101236 40 7 1 0 0 2.65024 40 8 1 0 0 1 0 0 1.5257 40 12 134960 108568
600 -6437.18 0.000948424 40 16 0.12514 40 7 1 0 0 2.50044 40 11 1 0 0 1 0 0 1.33484 40 12 134960 108636
640 -6427.73 0.000767779 40 17 0.118404 40 5 1 0 0 2.56682 40 7 1 0 0 1 0 0 1.39824 40 7 134960 108477
680 -6425.79 0.0012059 40 14 0.114518 40 8 1 0 0 2.33013 40 9 1 0 0 1 0 0 1.43066 40 14 134960 108404
720 -6363.88 0.000541304 40 12 0.110562 40 9 1 0 0 2.56245 40 9 1 0 0 1 0 0 1.62388 40 8 134960 108245
760 -6388.45 0.000953817 40 14 0.121363 40 14 1 0 0 2.499 40 10 1 0 0 1 0 0 1.43966 40 11 134960 108584
800 -6397.19 0.00087143 40 20 0.12761 40 9 1 0 0 2.20522 40 9 1 0 0 1 0 0 1.44778 40 13 134960 108456
840 -6426.44 0.000942199 40 6 0.141715 40 9 1 0 0 2.06421 40 13 1 0 0 1 0 0 1.20499 40 10 134960 108311
880 -6392.57 0.000561163 40 11 0.110623 40 14 1 0 0 2.81796 40 16 1 0 0 1 0 0 1.37479 40 12 134960 108266
920 -6413.98 0.00166398 40 12 0.0945164 40 9 1 0 0 2.96871 40 10 1 0 0 1 0 0 1.53912 40 11 134960 108544
960 -6400.2 0.000858436 40 14 0.120026 40 13 1 0 0 2.53992 40 11 1 0 0 1 0 0 1.35734 40 12 134960 108391
1000 -6392.72 0.000691308 40 16 0.10217 40 9 1 0 0 2.76532 40 9 1 0 0 1 0 0 1.45078 40 13 134960 108179
1040 -6381.64 0.00102953 40 5 0.113991 40 5 1 0 0 2.28627 40 13 1 0 0 1 0 0 1.44196 40 8 134960 108354
1080 -6346.6 0.00116179 40 14 0.104405 40 8 1 0 0 2.72288 40 10 1 0 0 1 0 0 1.45769 40 12 134960 108524
1120 -6386.8 0.00107041 40 14 0.115144 40 9 1 0 0 2.64879 40 11 1 0 0 1 0 0 1.37474 40 11 134960 108441
1160 -6402.4 0.000884296 40 12 0.106125 40 8 1 0 0 2.83005 40 12 1 0 0 1 0 0 1.38451 40 9 134960 108496
1200 -6356.83 0.000843952 40 14 0.0950201 40 8 1 0 0 3.05578 40 9 1 0 0 1 0 0 1.50178 40 13 134960 108713
1240 -6403.92 0.000706534 40 12 0.101198 40 8 1 0 0 2.61556 40 10 1 0 0 1 0 0 1.79992 40 15 134960 108483
1280 -6375.03 0.000883005 40 14 0.101922 40 11 1 0 0 2.59395 40 9 1 0 0 1 0 0 1.63289 40 10 134960 108589
1320 -6427.33 0.000576621 40 12 0.098046 40 6 1 0 0 2.61322 40 11 1 0 0 1 0 0 1.53026 40 13 134960 108376
1360 -6399.28 0.000789878 40 15 0.0993796 40 8 1 0 0 2.68839 40 7 1 0 0 1 0 0 1.49886 40 11 134960 108554
