iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -34089.9 0.00032084 0 0 5.42388 0 0 1 0 0 1.694 0 0 1 0 0 1 0 0 1.71675 0 0 0 0
40 -7049.08 0.000545965 40 27 0.222184 40 22 1 0 0 1.60439 40 12 1 0 0 1 0 0 1.0271 40 13 68280 45466
80 -6947.56 0.00012063 40 22 0.124641 40 12 1 0 0 2.43691 40 13 1 0 0 1 0 0 1.30214 40 10 68280 51200
120 -7031.05 0.000126817 40 30 0.125527 40 12 1 0 0 2.35909 40 11 1 0 0 1 0 0 1.2968 40 15 68280 51088
160 -6993.1 0.000146742 40 20 0.123167 40 12 1 0 0 2.53667 40 11 1 0 0 1 0 0 1.26957 40 9 68280 51232
200 -7018.06 0.000362524 40 23 0.116722 40 9 1 0 0 2.28306 40 14 1 0 0 1 0 0 1.37994 40 11 68280 51399
240 -6942.29 7.50608e-05 40 14 0.111972 40 7 1 0 0 2.58145 40 7 1 0 0 1 0 0 1.57479 40 11 68280 51252
280 -6979.88 2.16766e-05 40 27 0.105322 40 9 1 0 0 2.68359 40 11 1 0 0 1 0 0 1.37527 40 12 68280 51067
320 -6956.59 0.000543417 40 21 0.0908503 40 7 1 0 0 2.39402 40 11 1 0 0 1 0 0 1.79992 40 16 68280 51024
360 -6968.68 6.37092e-05 40 20 0.118493 40 11 1 0 0 2.59946 40 11 1 0 0 1 0 0 1.42028 40 9 68280 51142
400 -7001.37 7.01569e-05 40 18 0.0992694 40 13 1 0 0 2.67773 40 9 1 0 0 1 0 0 1.56354 40 10 68280 50874
440 -7014.49 0.000268558 40 15 0.103911 40 11 1 0 0 2.7654 40 8 1 0 0 1 0 0 1.38399 40 10 68280 51325
480 -6981.68 0.000291839 40 22 0.100463 40 5 1 0 0 2.51942 40 13 1 0 0 1 0 0 1.58132 40 12 68280 51151
520 -6980.62 0.000551318 40 20 0.13035 40 8 1 0 0 2.49018 40 7 1 0 0 1 0 0 1.25665 40 8 68280 51084
560 -6973.32 2.70955e-05 40 29 0.124898 40 7 1 0 0 2.69612 40 14 1 0 0 1 0 0 1.29987 40 12 68280 50714
600 -7010.78 0.000239138 40 24 0.0932572 40 16 1 0 0 3.01769 40 11 1 0 0 1 0 0 1.63953 40 13 68280 51043
640 -6925.73 0.000600252 40 15 0.0927638 40 5 1 0 0 2.76857 40 12 1 0 0 1 0 0 1.67456 40 8 68280 51230
680 -6991.53 0.000512512 40 14 0.115585 40 11 1 0 0 2.45868 40 9 1 0 0 1 0 0 1.42355 40 8 68280 51323
720 -7021.95 0.000595085 40 21 0.123048 40 12 1 0 0 2.38182 40 12 1 0 0 1 0 0 1.43584 40 14 68280 51413
760 -6997.81 0.000383925 40 16 0.104447 40 8 1 0 0 2.49319 40 13 1 0 0 1 0 0 1.56055 40 8 68280 51183
800 -6951.38 0.00048899 40 19 0.0870953 40 11 1 0 0 3.22486 40 11 1 0 0 1 0 0 1.65341 40 6 68280 50982
840 -6931.34 0.000390731 40 25 0.0981115 40 7 1 0 0 2.57807 40 9 1 0 0 1 0 0 1.70314 40 9 68280 51340
880 -6952.97 0.000432141 40 15 0.121217 40 9 1 0 0 2.45563 40 10 1 0 0 1 0 0 1.46663 40 8 68280 51429
920 -6995.09 0.000364883 40 24 0.115559 40 7 1 0 0 2.66718 40 8 1 0 0 1 0 0 1.32047 40 7 68280 51204
960 -6988.07 0.000396253 40 21 0.113445 40 4 1 0 0 2.14904 40 9 1 0 0 1 0 0 1.71106 40 8 68280 51065
1000 -6993.46 0.000621648 40 17 0.122196 40 6 1 0 0 2.30158 40 10 1 0 0 1 0 0 1.39709 40 9 68280 51181
1040 -7017.49 0.000222468 40 21 0.120777 40 10 1 0 0 2.79808 40 9 1 0 0 1 0 0 1.26642 40 14 68280 51199
1080 -6972.7 0.000215519 40 23 0.0944046 40 14 1 0 0 2.8767 40 6 1 0 0 1 0 0 1.4967 40 10 68280 51115
1120 -6971.03 0.000292467 40 24 0.0934246 40 15 1 0 0 2.67799 40 4 1 0 0 1 0 0 1.57389 40 8 68280 51060
1160 -7022.87 0.000722564 40 16 0.0890194 40 8 1 0 0 2.97643 40 12 1 0 0 1 0 0 1.70025 40 12 68280 51506
1200 -7025.04 0.000369666 40 16 0.105989 40 8 1 0 0 2.59229 40 6 1 0 0 1 0 0 1.46679 40 10 68280 51170
1240 -7015.08 0.0005134 40 17 0.104561 40 9 1 0 0 2.36235 40 8 1 0 0 1 0 0 1.69955 40 13 68280 51231
1280 -6972.56 0.000438066 40 23 0.0978354 40 11 1 0 0 2.28893 40 14 1 0 0 1 0 0 1.85515 40 13 68280 51315
