iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -11063 0.00125522 0 0 3.94317 0 0 1 0 0 0.472465 0 0 1 0 0 1 0 0 0.403043 0 0 0 0
40 -7268.32 0.000146118 40 21 0.308039 40 17 1 0 0 1.66041 40 17 1 0 0 1 0 0 0.804189 40 24 69680 49673
80 -7201.62 9.42008e-06 40 24 0.114187 40 14 1 0 0 2.74239 40 13 1 0 0 1 0 0 1.42745 40 8 69680 51506
120 -7187.84 0.000427537 40 20 0.1241 40 9 1 0 0 2.47951 40 12 1 0 0 1 0 0 1.40255 40 13 69680 51377
160 -7223.15 0.000334165 40 13 0.10536 40 10 1 0 0 2.71044 40 9 1 0 0 1 0 0 1.59732 40 7 69680 51599
200 -7131.32 0.000191781 40 21 0.0946816 40 9 1 0 0 2.50954 40 11 1 0 0 1 0 0 1.90411 40 9 69680 51594
240 -7288.33 0.000533895 40 13 0.0959928 40 10 1 0 0 3.27697 40 15 1 0 0 1 0 0 1.48758 40 9 69680 51469
280 -7231.07 0.000297996 40 15 0.0967098 40 7 1 0 0 3.10757 40 14 1 0 0 1 0 0 1.55192 40 13 69680 51760
320 -7152.83 0.000548831 40 19 0.0879911 40 4 1 0 0 2.72709 40 11 1 0 0 1 0 0 1.92047 40 11 69680 51590
360 -7195.41 0.000623278 40 12 0.0882996 40 5 1 0 0 2.61795 40 11 1 0 0 1 0 0 1.96103 40 4 69680 51416
400 -7129.71 0.000475411 40 14 0.0832586 40 11 1 0 0 2.97049 40 11 1 0 0 1 0 0 1.90508 40 9 69680 51887
440 -7160.32 0.000378792 40 20 0.0891303 40 6 1 0 0 3.05044 40 11 1 0 0 1 0 0 1.89424 40 9 69680 51772
480 -7198.68 0.00107598 40 13 0.0815256 40 10 1 0 0 3.24724 40 11 1 0 0 1 0 0 1.78393 40 10 69680 51978
