iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -13167.4 0.00124359 0 0 3.19142 0 0 1 0 0 1.0049 0 0 1 0 0 1 0 0 0.783789 0 0 0 0
40 -6761.15 0.00149316 40 18 0.249421 40 17 1 0 0 2.04618 40 22 1 0 0 1 0 0 0.723355 40 18 139440 110715
80 -6753.75 0.00111107 40 9 0.127106 40 8 1 0 0 2.37345 40 17 1 0 0 1 0 0 1.65754 40 13 139440 112355
120 -6721.94 0.00184437 40 9 0.101911 40 9 1 0 0 2.89846 40 14 1 0 0 1 0 0 1.57108 40 18 139440 112263
160 -6707.12 0.00233334 40 10 0.0811175 40 12 1 0 0 2.96816 40 12 1 0 0 1 0 0 1.99748 40 6 139440 112331
200 -6699.44 0.0013313 40 11 0.108677 40 16 1 0 0 2.37585 40 8 1 0 0 1 0 0 1.77588 40 15 139440 112420
240 -6722.16 0.00159716 40 14 0.128122 40 12 1 0 0 2.38674 40 6 1 0 0 1 0 0 1.41703 40 8 139440 111971
280 -6699.64 0.00117286 40 9 0.0976278 40 10 1 0 0 3.29844 40 12 1 0 0 1 0 0 1.47004 40 10 139440 112382
320 -6715.46 0.00188574 40 7 0.0822691 40 6 1 0 0 2.94263 40 5 1 0 0 1 0 0 1.83116 40 8 139440 112456
360 -6719.49 0.00174978 40 9 0.080797 40 13 1 0 0 2.9198 40 8 1 0 0 1 0 0 1.84799 40 8 139440 112416
400 -6716.74 0.00167847 40 9 0.0937531 40 11 1 0 0 3.04844 40 10 1 0 0 1 0 0 1.64132 40 13 139440 112350
440 -6705.25 0.00135387 40 7 0.0993164 40 7 1 0 0 2.49071 40 8 1 0 0 1 0 0 1.81316 40 8 139440 112305
480 -6727.06 0.00218127 40 10 0.0851155 40 8 1 0 0 2.88997 40 5 1 0 0 1 0 0 1.92426 40 3 139440 112408
520 -6738.38 0.00247852 40 10 0.104506 40 11 1 0 0 2.24128 40 10 1 0 0 1 0 0 1.81835 40 12 139440 112564
560 -6712.69 0.00149548 40 8 0.0941799 40 7 1 0 0 2.9446 40 10 1 0 0 1 0 0 1.84304 40 6 139440 112308
600 -6737.27 0.0017844 40 8 0.0970476 40 5 1 0 0 2.92181 40 8 1 0 0 1 0 0 1.58149 40 12 139440 112128
640 -6773.09 0.00232741 40 8 0.075465 40 15 1 0 0 2.47875 40 13 1 0 0 1 0 0 2.46684 40 10 139440 112656
680 -6707.79 0.00243685 40 7 0.089154 40 13 1 0 0 2.51414 40 15 1 0 0 1 0 0 2.01558 40 7 139440 112496
720 -6700.69 0.00195887 40 10 0.103346 40 10 1 0 0 2.65569 40 10 1 0 0 1 0 0 1.64139 40 13 139440 112559
