iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -37562.4 0.00227299 0 0 4.94951 0 0 1 0 0 2.70033 0 0 1 0 0 1 0 0 1.50466 0 0 0 0
40 -6730.96 0.00123102 40 17 0.204809 40 22 1 0 0 1.71857 40 12 1 0 0 1 0 0 1.04066 40 18 139200 107000
80 -6670.43 0.00121169 40 9 0.117362 40 16 1 0 0 2.56096 40 11 1 0 0 1 0 0 1.57929 40 14 139200 111841
120 -6709.86 0.00165357 40 14 0.107996 40 10 1 0 0 2.35499 40 9 1 0 0 1 0 0 1.88373 40 8 139200 111925
160 -6694.51 0.00188947 40 14 0.0866913 40 8 1 0 0 3.03723 40 11 1 0 0 1 0 0 2.00996 40 11 139200 111787
200 -6683.26 0.00117583 40 9 0.0880473 40 9 1 0 0 3.18568 40 7 1 0 0 1 0 0 1.81363 40 9 139200 111939
240 -6680.32 0.000987411 40 7 0.0811981 40 8 1 0 0 2.7303 40 6 1 0 0 1 0 0 2.23903 40 8 139200 111883
280 -6666.36 0.00184701 40 6 0.0748556 40 6 1 0 0 2.96098 40 8 1 0 0 1 0 0 2.19615 40 10 139200 112253
320 -6688.23 0.00118794 40 8 0.0702843 40 14 1 0 0 3.55471 40 13 1 0 0 1 0 0 2.22597 40 12 139200 111836
360 -6690.25 0.00136432 40 15 0.065548 40 8 1 0 0 3.85646 40 6 1 0 0 1 0 0 2.18772 40 7 139200 112270
400 -6734.69 0.00250324 40 8 0.0642956 40 11 1 0 0 3.58124 40 7 1 0 0 1 0 0 2.20563 40 13 139200 112241
440 -6750.33 0.00273103 40 8 0.0624568 40 8 1 0 0 3.73199 40 8 1 0 0 1 0 0 2.28151 40 11 139200 112389
480 -6734.16 0.00183309 40 12 0.0754356 40 8 1 0 0 2.83959 40 15 1 0 0 1 0 0 2.34158 40 6 139200 112168
520 -6692.56 0.00125084 40 9 0.0902419 40 8 1 0 0 2.79259 40 6 1 0 0 1 0 0 2.01282 40 13 139200 111811
560 -6720.77 0.00181026 40 9 0.0742759 40 7 1 0 0 3.58791 40 11 1 0 0 1 0 0 2.00173 40 14 139200 111992
600 -6718.79 0.00157517 40 10 0.0773012 40 12 1 0 0 3.15742 40 11 1 0 0 1 0 0 1.9981 40 6 139200 111999
640 -6712.05 0.00138642 40 10 0.0800194 40 9 1 0 0 3.03253 40 6 1 0 0 1 0 0 2.20178 40 6 139200 111920
680 -6691.98 0.00183139 40 10 0.0757941 40 10 1 0 0 3.27484 40 7 1 0 0 1 0 0 2.07781 40 10 139200 111913
720 -6692.69 0.00184915 40 9 0.0831056 40 8 1 0 0 2.91143 40 10 1 0 0 1 0 0 1.86686 40 9 139200 112249
760 -6680.51 0.00153985 40 11 0.0816915 40 10 1 0 0 2.93386 40 16 1 0 0 1 0 0 2.35001 40 13 139200 111936
800 -6726.24 0.00178892 40 9 0.083272 40 13 1 0 0 2.76009 40 8 1 0 0 1 0 0 2.1274 40 15 139200 111928
840 -6706.72 0.00153725 40 8 0.0932305 40 11 1 0 0 2.73671 40 12 1 0 0 1 0 0 2.03646 40 10 139200 112147
880 -6688.98 0.0018798 40 10 0.0827553 40 12 1 0 0 2.83782 40 8 1 0 0 1 0 0 2.12321 40 15 139200 112012
920 -6686.11 0.00156124 40 12 0.0963677 40 14 1 0 0 2.73162 40 11 1 0 0 1 0 0 1.96678 40 10 139200 112325
960 -6678.42 0.00172888 40 6 0.0761869 40 7 1 0 0 2.78739 40 12 1 0 0 1 0 0 2.30753 40 4 139200 112160
1000 -6702.77 0.00166529 40 10 0.0803223 40 10 1 0 0 2.98475 40 11 1 0 0 1 0 0 2.18906 40 9 139200 111818
1040 -6704.62 0.00200297 40 10 0.0888305 40 7 1 0 0 2.52424 40 6 1 0 0 1 0 0 2.10181 40 8 139200 112204
1080 -6655.57 0.00176804 40 8 0.0785095 40 13 1 0 0 2.60946 40 7 1 0 0 1 0 0 2.40772 40 9 139200 111853
1120 -6692.65 0.00111695 40 6 0.0869305 40 13 1 0 0 3.05988 40 10 1 0 0 1 0 0 2.00904 40 11 139200 112130
1160 -6703.66 0.00205456 40 8 0.0755099 40 9 1 0 0 3.23516 40 10 1 0 0 1 0 0 2.09299 40 3 139200 112470
1200 -6688.5 0.00240369 40 12 0.0788627 40 10 1 0 0 2.70711 40 15 1 0 0 1 0 0 2.31968 40 17 139200 112279
1240 -6676.05 0.0016553 40 14 0.0896609 40 7 1 0 0 2.85457 40 8 1 0 0 1 0 0 1.90902 40 7 139200 112043
1280 -6741.19 0.00138382 40 7 0.0895767 40 10 1 0 0 2.86673 40 6 1 0 0 1 0 0 1.90551 40 17 139200 112064
1320 -6710.38 0.00216359 40 8 0.0841667 40 8 1 0 0 3.17813 40 8 1 0 0 1 0 0 2.03293 40 7 139200 111916
1360 -6704.76 0.00112076 40 10 0.0777744 40 7 1 0 0 3.05361 40 12 1 0 0 1 0 0 2.07045 40 14 139200 112290
1400 -6662.86 0.00150946 40 6 0.0845832 40 9 1 0 0 3.08399 40 14 1 0 0 1 0 0 2.06908 40 10 139200 111893
1440 -6712.24 0.0019293 40 7 0.0693 40 10 1 0 0 2.93098 40 10 1 0 0 1 0 0 2.23496 40 11 139200 111910
1480 -6730.46 0.00129304 40 12 0.0842619 40 8 1 0 0 2.76351 40 17 1 0 0 1 0 0 2.18303 40 7 139200 112046
1520 -6761.79 0.00177904 40 6 0.0663365 40 6 1 0 0 3.28902 40 14 1 0 0 1 0 0 2.29352 40 8 139200 111853
1560 -6690.34 0.00201098 40 10 0.0686035 40 4 1 0 0 3.45587 40 7 1 0 0 1 0 0 2.2216 40 9 139200 112295
1600 -6690.09 0.00208746 40 7 0.065675 40 9 1 0 0 3.22564 40 9 1 0 0 1 0 0 2.33639 40 18 139200 112155
1640 -6717 0.00122126 40 5 0.0634453 40 6 1 0 0 3.03002 40 9 1 0 0 1 0 0 2.71558 40 10 139200 112115
1680 -6711.91 0.00252606 40 5 0.0701467 40 13 1 0 0 2.89868 40 11 1 0 0 1 0 0 2.31382 40 9 139200 112285
1720 -6740.18 0.00200397 40 13 0.0922323 40 10 1 0 0 2.60747 40 8 1 0 0 1 0 0 1.89423 40 8 139200 112034
1760 -6706.56 0.00168595 40 9 0.0977437 40 8 1 0 0 2.75508 40 12 1 0 0 1 0 0 1.79171 40 6 139200 112304
1800 -6642.84 0.00127123 40 11 0.0904393 40 17 1 0 0 2.87656 40 12 1 0 0 1 0 0 1.85526 40 16 139200 111793
1840 -6722.59 0.000703465 40 11 0.0999092 40 8 1 0 0 2.71983 40 7 1 0 0 1 0 0 1.94343 40 8 139200 111694
1880 -6682.6 0.00183995 40 10 0.0941167 40 12 1 0 0 2.77033 40 13 1 0 0 1 0 0 1.88468 40 15 139200 111646
1920 -6738.45 0.002351 40 9 0.0858595 40 10 1 0 0 2.98898 40 8 1 0 0 1 0 0 1.94587 40 11 139200 112098
1960 -6678.82 0.00129917 40 14 0.0815361 40 9 1 0 0 3.18783 40 12 1 0 0 1 0 0 1.95811 40 9 139200 111953
2000 -6698.92 0.00206387 40 4 0.105094 40 10 1 0 0 2.67643 40 12 1 0 0 1 0 0 1.71263 40 11 139200 112042
2040 -6713.85 0.00159961 40 7 0.0905826 40 11 1 0 0 2.83952 40 8 1 0 0 1 0 0 1.84454 40 11 139200 111843
2080 -6692.49 0.00217847 40 12 0.0643321 40 5 1 0 0 3.40957 40 10 1 0 0 1 0 0 2.31767 40 7 139200 111988
2120 -6714.3 0.00250278 40 4 0.0751896 40 6 1 0 0 2.7924 40 15 1 0 0 1 0 0 2.23626 40 8 139200 112250
2160 -6681.94 0.00181307 40 11 0.0957151 40 12 1 0 0 2.57554 40 12 1 0 0 1 0 0 1.91133 40 10 139200 112009
2200 -6694.41 0.00215179 40 10 0.0936345 40 13 1 0 0 2.60288 40 6 1 0 0 1 0 0 1.8475 40 12 139200 112153
2240 -6697.43 0.00208552 40 9 0.0860714 40 16 1 0 0 3.30155 40 16 1 0 0 1 0 0 1.94655 40 9 139200 111865
2280 -6691.84 0.00216481 40 9 0.0753927 40 13 1 0 0 2.94393 40 9 1 0 0 1 0 0 2.10325 40 9 139200 111973
2320 -6700.54 0.00155825 40 3 0.0846901 40 12 1 0 0 2.8611 40 13 1 0 0 1 0 0 2.14107 40 9 139200 112084
2360 -6712.73 0.00169346 40 12 0.0883407 40 11 1 0 0 2.81268 40 7 1 0 0 1 0 0 1.91791 40 8 139200 112038
2400 -6721.07 0.00256306 40 7 0.0689931 40 13 1 0 0 2.95354 40 10 1 0 0 1 0 0 2.20787 40 13 139200 112072
2440 -6680.54 0.00133681 40 6 0.0909316 40 13 1 0 0 2.62512 40 6 1 0 0 1 0 0 2.02103 40 10 139200 112101
2480 -6715.25 0.00194587 40 7 0.0835465 40 6 1 0 0 3.11551 40 10 1 0 0 1 0 0 1.93084 40 6 139200 112018
2520 -6696.77 0.00135999 40 9 0.0819225 40 14 1 0 0 2.9787 40 12 1 0 0 1 0 0 2.19625 40 11 139200 112019
2560 -6739.75 0.00176816 40 9 0.111402 40 9 1 0 0 2.45178 40 12 1 0 0 1 0 0 1.70668 40 6 139200 111639
2600 -6681.42 0.000966239 40 8 0.0902665 40 11 1 0 0 2.74692 40 11 1 0 0 1 0 0 1.9674 40 13 139200 111926
2640 -6731.52 0.0023166 40 12 0.0920803 40 9 1 0 0 2.38546 40 9 1 0 0 1 0 0 2.04819 40 13 139200 111931
2680 -6705.43 0.00182421 40 8 0.0902542 40 9 1 0 0 2.673 40 7 1 0 0 1 0 0 1.93736 40 12 139200 111960
2720 -6720.87 0.00223459 40 9 0.0739167 40 13 1 0 0 2.75266 40 12 1 0 0 1 0 0 2.4295 40 15 139200 112010
2760 -6687 0.00177922 40 5 0.080838 40 8 1 0 0 3.14299 40 8 1 0 0 1 0 0 1.89165 40 4 139200 111751
2800 -6682.08 0.00251899 40 8 0.0740461 40 12 1 0 0 3.18262 40 15 1 0 0 1 0 0 2.16176 40 11 139200 112000
2840 -6633.6 0.00194288 40 8 0.0888061 40 8 1 0 0 3.07036 40 9 1 0 0 1 0 0 1.80335 40 9 139200 111967
2880 -6679.58 0.00142212 40 8 0.0804489 40 10 1 0 0 3.04515 40 11 1 0 0 1 0 0 2.19457 40 13 139200 112014
2920 -6743.51 0.00180688 40 12 0.0982184 40 12 1 0 0 2.78255 40 10 1 0 0 1 0 0 1.69237 40 7 139200 112426
2960 -6702.94 0.00108406 40 10 0.108671 40 12 1 0 0 2.87274 40 15 1 0 0 1 0 0 1.50559 40 8 139200 111963
3000 -6739.77 0.00175021 40 7 0.0816881 40 10 1 0 0 2.88653 40 7 1 0 0 1 0 0 2.05172 40 7 139200 111889
3040 -6699.37 0.00216563 40 8 0.0780791 40 9 1 0 0 3.43958 40 9 1 0 0 1 0 0 1.89471 40 11 139200 112113
3080 -6712.29 0.00209716 40 12 0.0795391 40 9 1 0 0 2.95491 40 10 1 0 0 1 0 0 2.14577 40 9 139200 112186
3120 -6705.46 0.000938677 40 8 0.093124 40 13 1 0 0 2.97724 40 11 1 0 0 1 0 0 1.99995 40 13 139200 111819
3160 -6676.63 0.00160999 40 9 0.103814 40 7 1 0 0 2.46379 40 5 1 0 0 1 0 0 1.84375 40 11 139200 111747
3200 -6715.76 0.00153762 40 5 0.0739256 40 13 1 0 0 3.41112 40 10 1 0 0 1 0 0 1.782 40 9 139200 111849
3240 -6679.65 0.00217303 40 9 0.0770338 40 12 1 0 0 3.11932 40 12 1 0 0 1 0 0 1.97394 40 9 139200 112260
3280 -6691.35 0.00179038 40 8 0.0908685 40 13 1 0 0 2.44504 40 11 1 0 0 1 0 0 2.18684 40 9 139200 111841
3320 -6713.99 0.00159748 40 7 0.082188 40 12 1 0 0 2.8699 40 15 1 0 0 1 0 0 2.07926 40 14 139200 112026
3360 -6696.66 0.00174439 40 16 0.0905042 40 11 1 0 0 3.24202 40 8 1 0 0 1 0 0 1.6471 40 12 139200 111655
3400 -6692.29 0.00168952 40 8 0.0717914 40 10 1 0 0 3.01806 40 7 1 0 0 1 0 0 2.35508 40 15 139200 111748
3440 -6698.77 0.00141127 40 7 0.0796097 40 13 1 0 0 2.84395 40 7 1 0 0 1 0 0 2.3517 40 9 139200 112211
3480 -6738.34 0.00156191 40 9 0.0907759 40 6 1 0 0 2.93738 40 8 1 0 0 1 0 0 1.81414 40 15 139200 112308
3520 -6696.92 0.00178672 40 5 0.091571 40 5 1 0 0 2.74599 40 9 1 0 0 1 0 0 1.93229 40 8 139200 112016
3560 -6719.58 0.00151845 40 10 0.0897632 40 12 1 0 0 2.61323 40 12 1 0 0 1 0 0 2.03898 40 11 139200 112303
3600 -6701.05 0.00175422 40 10 0.09349 40 8 1 0 0 3.12996 40 12 1 0 0 1 0 0 1.79038 40 11 139200 112328
3640 -6675.3 0.000890755 40 10 0.0967811 40 9 1 0 0 2.67802 40 14 1 0 0 1 0 0 1.92718 40 9 139200 112003
3680 -6722.37 0.00212987 40 8 0.0874128 40 5 1 0 0 2.82865 40 11 1 0 0 1 0 0 1.91217 40 12 139200 111797
3720 -6675.47 0.00157884 40 10 0.0891517 40 6 1 0 0 3.05545 40 13 1 0 0 1 0 0 1.80908 40 9 139200 111940
3760 -6693.55 0.00146615 40 15 0.112364 40 5 1 0 0 2.31339 40 6 1 0 0 1 0 0 1.8729 40 15 139200 112009
3800 -6679.86 0.00216319 40 11 0.0912967 40 15 1 0 0 2.92842 40 14 1 0 0 1 0 0 1.90183 40 9 139200 112096
3840 -6697.19 0.000965581 40 12 0.0917715 40 6 1 0 0 2.73939 40 13 1 0 0 1 0 0 2.05373 40 13 139200 112265
3880 -6668.84 0.00171263 40 7 0.0736212 40 15 1 0 0 3.13963 40 10 1 0 0 1 0 0 2.24912 40 8 139200 111880
3920 -6659.66 0.00144904 40 7 0.0765517 40 9 1 0 0 3.10061 40 11 1 0 0 1 0 0 2.21547 40 14 139200 111851
3960 -6719.01 0.000871029 40 11 0.0965041 40 9 1 0 0 2.38581 40 12 1 0 0 1 0 0 2.13378 40 6 139200 111684
4000 -6673.95 0.00270983 40 10 0.0647068 40 7 1 0 0 3.54175 40 14 1 0 0 1 0 0 2.18597 40 8 139200 111852
4040 -6689.15 0.00212533 40 7 0.0640164 40 6 1 0 0 3.25708 40 5 1 0 0 1 0 0 2.47298 40 7 139200 112097
4080 -6690.56 0.00188269 40 7 0.0977448 40 9 1 0 0 2.75261 40 11 1 0 0 1 0 0 1.81611 40 11 139200 111782
4120 -6683.11 0.00196077 40 6 0.100605 40 7 1 0 0 2.61701 40 10 1 0 0 1 0 0 1.90905 40 9 139200 111980
4160 -6726.66 0.00188972 40 11 0.089273 40 11 1 0 0 3.00163 40 9 1 0 0 1 0 0 1.76753 40 7 139200 111947
4200 -6723.55 0.00167139 40 5 0.070417 40 17 1 0 0 2.88902 40 6 1 0 0 1 0 0 2.46078 40 10 139200 112092
4240 -6703.68 0.00143696 40 5 0.0840492 40 6 1 0 0 2.55541 40 10 1 0 0 1 0 0 2.28559 40 11 139200 112028
4280 -6708.95 0.00158471 40 3 0.101935 40 12 1 0 0 2.86047 40 13 1 0 0 1 0 0 1.68017 40 11 139200 111857
4320 -6733.64 0.00148766 40 11 0.0980923 40 6 1 0 0 2.55042 40 9 1 0 0 1 0 0 1.96341 40 11 139200 111793
4360 -6671.24 0.00146355 40 8 0.0912981 40 11 1 0 0 2.64868 40 10 1 0 0 1 0 0 1.9168 40 11 139200 112092
4400 -6691.56 0.00174938 40 8 0.0807421 40 10 1 0 0 2.76495 40 10 1 0 0 1 0 0 1.97656 40 11 139200 111901
4440 -6719.63 0.00151607 40 13 0.0897373 40 7 1 0 0 2.64537 40 9 1 0 0 1 0 0 2.00482 40 7 139200 111887
4480 -6674.08 0.00100278 40 9 0.0913774 40 5 1 0 0 3.1148 40 8 1 0 0 1 0 0 1.78641 40 13 139200 111814
4520 -6689.27 0.00206875 40 7 0.079945 40 10 1 0 0 3.30873 40 9 1 0 0 1 0 0 2.08666 40 10 139200 111992
4560 -6706.55 0.00211733 40 8 0.0740068 40 7 1 0 0 3.0801 40 8 1 0 0 1 0 0 2.43393 40 8 139200 112062
4600 -6712.34 0.00243614 40 7 0.0666321 40 9 1 0 0 3.17863 40 10 1 0 0 1 0 0 2.43749 40 9 139200 112372
4640 -6670.16 0.00152904 40 10 0.0718008 40 12 1 0 0 3.18625 40 9 1 0 0 1 0 0 2.37584 40 9 139200 112096
4680 -6720.3 0.0013208 40 14 0.0764052 40 8 1 0 0 2.97457 40 8 1 0 0 1 0 0 2.31895 40 9 139200 112063
4720 -6728.03 0.00186745 40 5 0.06341 40 11 1 0 0 2.98758 40 6 1 0 0 1 0 0 2.55679 40 9 139200 111745
4760 -6730.15 0.00237008 40 3 0.054795 40 10 1 0 0 3.65493 40 12 1 0 0 1 0 0 2.71087 40 10 139200 112155
4800 -6686.39 0.00238712 40 7 0.0542058 40 7 1 0 0 3.47749 40 8 1 0 0 1 0 0 2.8247 40 10 139200 112450
4840 -6699.19 0.00184625 40 9 0.0636961 40 9 1 0 0 2.83501 40 10 1 0 0 1 0 0 2.882 40 12 139200 112097
4880 -6720.38 0.00210924 40 5 0.0771926 40 14 1 0 0 3.02731 40 18 1 0 0 1 0 0 2.16002 40 13 139200 112354
4920 -6704.13 0.00192225 40 8 0.0729524 40 12 1 0 0 2.87761 40 8 1 0 0 1 0 0 2.28787 40 9 139200 111912
4960 -6654.14 0.00178 40 7 0.0657163 40 13 1 0 0 3.48249 40 7 1 0 0 1 0 0 2.39949 40 13 139200 111896
5000 -6688.06 0.00116598 40 8 0.0676188 40 12 1 0 0 3.0923 40 10 1 0 0 1 0 0 2.67039 40 9 139200 111840
5040 -6709.52 0.00238053 40 11 0.0658494 40 9 1 0 0 3.04423 40 4 1 0 0 1 0 0 2.60374 40 12 139200 112411
5080 -6722.63 0.00211589 40 9 0.0614186 40 11 1 0 0 3.40836 40 10 1 0 0 1 0 0 2.44349 40 3 139200 112285
5120 -6692.04 0.00165523 40 8 0.074485 40 12 1 0 0 3.07867 40 12 1 0 0 1 0 0 2.2251 40 13 139200 112238
5160 -6679.28 0.0018987 40 9 0.0726186 40 11 1 0 0 3.03957 40 10 1 0 0 1 0 0 2.32167 40 10 139200 112266
5200 -6701.26 0.00228984 40 16 0.086219 40 8 1 0 0 3.07316 40 6 1 0 0 1 0 0 1.927 40 12 139200 112124
5240 -6696.04 0.00151102 40 10 0.0751189 40 7 1 0 0 3.0274 40 14 1 0 0 1 0 0 2.33904 40 11 139200 112165
5280 -6688.12 0.00208349 40 12 0.0665665 40 14 1 0 0 3.36471 40 14 1 0 0 1 0 0 2.48708 40 11 139200 112056
5320 -6700.52 0.00132635 40 12 0.0856189 40 16 1 0 0 3.00343 40 5 1 0 0 1 0 0 2.07697 40 13 139200 111936
5360 -6668.7 0.00156188 40 10 0.0831656 40 5 1 0 0 2.60086 40 9 1 0 0 1 0 0 2.38771 40 11 139200 111982
5400 -6673.08 0.00147725 40 15 0.109344 40 10 1 0 0 2.7435 40 8 1 0 0 1 0 0 1.60194 40 16 139200 111960
5440 -6693.15 0.00163993 40 8 0.095389 40 9 1 0 0 2.83561 40 8 1 0 0 1 0 0 1.66386 40 10 139200 112033
5480 -6703.75 0.00175359 40 8 0.100827 40 15 1 0 0 3.12286 40 16 1 0 0 1 0 0 1.54484 40 15 139200 111854
5520 -6676.79 0.00216797 40 11 0.0848095 40 8 1 0 0 3.05638 40 13 1 0 0 1 0 0 1.97712 40 11 139200 112102
5560 -6675.31 0.00177483 40 13 0.0910066 40 13 1 0 0 2.67015 40 10 1 0 0 1 0 0 2.07718 40 9 139200 111547
5600 -6711.11 0.0014241 40 11 0.0837986 40 11 1 0 0 2.92464 40 17 1 0 0 1 0 0 1.94736 40 8 139200 111822
5640 -6691.69 0.00181938 40 12 0.0671864 40 8 1 0 0 3.5648 40 8 1 0 0 1 0 0 2.07043 40 6 139200 112027
